timestep	ref_qpos_left_hip_pitch_joint	ref_qpos_right_hip_pitch_joint	ref_qpos_waist_roll_joint	ref_qpos_left_hip_roll_joint	ref_qpos_right_hip_roll_joint	ref_qpos_waist_yaw_joint	ref_qpos_left_hip_yaw_joint	ref_qpos_right_hip_yaw_joint	ref_qpos_left_shoulder_pitch_joint	ref_qpos_right_shoulder_pitch_joint	ref_qpos_left_knee_joint	ref_qpos_right_knee_joint	ref_qpos_left_shoulder_roll_joint	ref_qpos_right_shoulder_roll_joint	ref_qpos_left_ankle_pitch_joint	ref_qpos_right_ankle_pitch_joint	ref_qpos_left_shoulder_yaw_joint	ref_qpos_right_shoulder_yaw_joint	ref_qpos_left_ankle_roll_joint	ref_qpos_right_ankle_roll_joint	ref_qpos_left_elbow_joint	ref_qpos_right_elbow_joint	ref_qpos_left_wrist_roll_joint	ref_qpos_right_wrist_roll_joint	ref_qvel_left_hip_pitch_joint	ref_qvel_right_hip_pitch_joint	ref_qvel_waist_roll_joint	ref_qvel_left_hip_roll_joint	ref_qvel_right_hip_roll_joint	ref_qvel_waist_yaw_joint	ref_qvel_left_hip_yaw_joint	ref_qvel_right_hip_yaw_joint	ref_qvel_left_shoulder_pitch_joint	ref_qvel_right_shoulder_pitch_joint	ref_qvel_left_knee_joint	ref_qvel_right_knee_joint	ref_qvel_left_shoulder_roll_joint	ref_qvel_right_shoulder_roll_joint	ref_qvel_left_ankle_pitch_joint	ref_qvel_right_ankle_pitch_joint	ref_qvel_left_shoulder_yaw_joint	ref_qvel_right_shoulder_yaw_joint	ref_qvel_left_ankle_roll_joint	ref_qvel_right_ankle_roll_joint	ref_qvel_left_elbow_joint	ref_qvel_right_elbow_joint	ref_qvel_left_wrist_roll_joint	ref_qvel_right_wrist_roll_joint	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
10	0.05864056944847107	0.11937309801578522	0.00426473980769515	0.15449611842632294	-0.3415605127811432	-0.15621131658554077	0.24010658264160156	-0.6200640201568604	0.8356732726097107	0.3542215824127197	0.05346358194947243	0.050541963428258896	1.1892670392990112	-1.5670047998428345	0.17272914946079254	0.25053948163986206	0.4853075444698334	0.13642318546772003	-0.4002503752708435	0.30868199467658997	1.2747292518615723	1.4987682104110718	-0.09004296362400055	0.34042906761169434	0.0661253035068512	-0.11584646999835968	0.09167560189962387	0.07686726748943329	0.09072050452232361	0.2901524305343628	0.31827017664909363	0.33711791038513184	0.03402829170227051	-0.44825002551078796	-0.054626911878585815	-0.13565802574157715	0.013253092765808105	-0.01946389675140381	0.0909615308046341	0.2385057508945465	0.04434064030647278	0.45385098457336426	-0.0601060688495636	0.04997923970222473	0.279390811920166	-0.03370046615600586	0.049091316759586334	0.06593093276023865	-0.006639212369918823	3.7997961044311523e-05	-0.029918178915977478
11	0.0599692277610302	0.11713048070669174	0.006032329518347979	0.15599092841148376	-0.33975350856781006	-0.15054352581501007	0.24633698165416718	-0.6134650707244873	0.8362249732017517	0.3453094959259033	0.052374836057424545	0.047914594411849976	1.1895289421081543	-1.5673872232437134	0.1744350641965866	0.25509878993034363	0.48610860109329224	0.1454368382692337	-0.4013462960720062	0.30959004163742065	1.2799155712127686	1.4980757236480713	-0.0889219120144844	0.34166547656059265	0.06669983267784119	-0.10910611599683762	0.08579382300376892	0.07248930633068085	0.09024813771247864	0.276743620634079	0.3048114478588104	0.32427459955215454	0.02270638942718506	-0.44430866837501526	-0.05411859601736069	-0.12649279832839966	0.010693073272705078	-0.018358230590820312	0.07998980581760406	0.22048130631446838	0.036078691482543945	0.4461899399757385	-0.05070120096206665	0.04118680953979492	0.2425462007522583	-0.0354081392288208	0.06277523934841156	0.05857348442077637	-0.008230656385421753	0.0001735985279083252	-0.026673078536987305
12	0.06130856275558472	0.11500885337591171	0.007696492597460747	0.15739569067955017	-0.33795058727264404	-0.1451415717601776	0.252299040555954	-0.6070930361747742	0.8365815281867981	0.3364492356777191	0.051298838108778	0.04548225179314613	1.1896947622299194	-1.5677391290664673	0.1759287416934967	0.2593587338924408	0.48675069212913513	0.15427078306674957	-0.40227842330932617	0.31032946705818176	1.2844310998916626	1.497351884841919	-0.08753195405006409	0.3427720069885254	0.06616441905498505	-0.10423529893159866	0.0798402950167656	0.0678129494190216	0.08936077356338501	0.2634469270706177	0.2917010188102722	0.315055251121521	0.014545023441314697	-0.43961480259895325	-0.053845811635255814	-0.1200101375579834	0.010764598846435547	-0.016242265701293945	0.06938539445400238	0.20168796181678772	0.029005855321884155	0.43965762853622437	-0.04301592707633972	0.03141239285469055	0.2110987901687622	-0.03668367862701416	0.07401779294013977	0.05162656307220459	-0.007674843072891235	-0.0002592802047729492	-0.023901835083961487
13	0.06261580437421799	0.1129610687494278	0.009225941263139248	0.15870344638824463	-0.33617907762527466	-0.14000564813613892	0.2580050230026245	-0.6008628606796265	0.8368067741394043	0.3277249038219452	0.05022100359201431	0.04311418905854225	1.1899595260620117	-1.5680369138717651	0.1772104799747467	0.26316630840301514	0.4872688353061676	0.16302314400672913	-0.4030669331550598	0.3108465373516083	1.288359522819519	1.4966083765029907	-0.08596120029687881	0.34373053908348083	0.06445758044719696	-0.10036230087280273	0.07468636333942413	0.06267130374908447	0.0874049961566925	0.25026649236679077	0.2798624336719513	0.3071695566177368	0.010307133197784424	-0.43248459696769714	-0.05350876599550247	-0.11731330305337906	0.013142824172973633	-0.015106797218322754	0.05983971059322357	0.17806142568588257	0.02114623785018921	0.43601542711257935	-0.03664270043373108	0.02014636993408203	0.18356144428253174	-0.037106871604919434	0.08096471428871155	0.04496723413467407	-0.00558122992515564	-0.0005483627319335938	-0.023660436272621155
14	0.0638868659734726	0.1109943613409996	0.010683947242796421	0.15990254282951355	-0.33445438742637634	-0.13513091206550598	0.26349353790283203	-0.5948062539100647	0.8369938135147095	0.31914985179901123	0.0491584874689579	0.04078971967101097	1.1902204751968384	-1.5683434009552002	0.17832233011722565	0.2664811909198761	0.4875965416431427	0.17171140015125275	-0.4037441313266754	0.31113532185554504	1.2917735576629639	1.4958676099777222	-0.08429336547851562	0.34457069635391235	0.06232503801584244	-0.0954633578658104	0.07153109461069107	0.05758106708526611	0.08509978652000427	0.23780576884746552	0.27038678526878357	0.2974659204483032	0.005255639553070068	-0.42646676301956177	-0.05243513733148575	-0.11388072371482849	0.01252889633178711	-0.01627802848815918	0.05250200629234314	0.15508010983467102	0.01453012228012085	0.4315066933631897	-0.03160983324050903	0.01033097505569458	0.15884339809417725	-0.036713480949401855	0.08441004902124405	0.0394575297832489	-0.004046782851219177	-0.00026673078536987305	-0.023996084928512573
15	0.06510880589485168	0.10914253443479538	0.012087184935808182	0.16100668907165527	-0.3327750861644745	-0.1304934173822403	0.26882049441337585	-0.5889642238616943	0.8370169997215271	0.3106662333011627	0.04812359809875488	0.0385589599609375	1.1904606819152832	-1.5686880350112915	0.17931056022644043	0.269369512796402	0.48785004019737244	0.18028341233730316	-0.4043313264846802	0.31125977635383606	1.2947132587432861	1.4951398372650146	-0.08258479833602905	0.3453088402748108	0.06008464843034744	-0.08872337639331818	0.06878585368394852	0.05333051085472107	0.0826425850391388	0.2256624400615692	0.26211515069007874	0.28862953186035156	-0.0031203031539916992	-0.4208110272884369	-0.0507931225001812	-0.10815402865409851	0.011789798736572266	-0.01836717128753662	0.04689358174800873	0.13655498623847961	0.01155659556388855	0.4271559417247772	-0.02721846103668213	0.0039130449295043945	0.13679862022399902	-0.03559291362762451	0.08499044924974442	0.03428459167480469	-0.0040881335735321045	4.0978193283081055e-05	-0.023202970623970032
16	0.06629025191068649	0.10744542628526688	0.013435381464660168	0.1620357632637024	-0.3311486840248108	-0.1261044144630432	0.2739781439304352	-0.5832610726356506	0.8368690013885498	0.30231741070747375	0.04712676256895065	0.03646355867385864	1.1906920671463013	-1.5690780878067017	0.180198073387146	0.2719433903694153	0.48805880546569824	0.18879763782024384	-0.4048328697681427	0.3112918436527252	1.2972455024719238	1.4944438934326172	-0.08089374750852585	0.34594208002090454	0.05865730345249176	-0.08185822516679764	0.06581319123506546	0.05024932324886322	0.07979869842529297	0.21507200598716736	0.2522379159927368	0.27982592582702637	-0.008074939250946045	-0.4159592092037201	-0.04878705367445946	-0.10065799951553345	0.011056661605834961	-0.01906454563140869	0.04212893545627594	0.12361034750938416	0.007004290819168091	0.42259061336517334	-0.02294480800628662	0.00020936131477355957	0.11859238147735596	-0.03416240215301514	0.08189119398593903	0.029149651527404785	-0.005211308598518372	0.0001519918441772461	-0.020992010831832886
17	0.06745509803295135	0.10586820542812347	0.014719712547957897	0.1630166620016098	-0.32958313822746277	-0.12189053744077682	0.2789100110530853	-0.5777711868286133	0.8366940021514893	0.2940278649330139	0.046172115951776505	0.034532640129327774	1.1909029483795166	-1.5694506168365479	0.18099571764469147	0.27431392669677734	0.48813021183013916	0.19718703627586365	-0.40524911880493164	0.311268150806427	1.2994569540023804	1.493773341178894	-0.07930915057659149	0.346474826335907	0.05770642310380936	-0.07694326341152191	0.06353023648262024	0.04802048206329346	0.07589682936668396	0.20759254693984985	0.24058669805526733	0.26725977659225464	-0.009196996688842773	-0.41314736008644104	-0.046895816922187805	-0.09291888773441315	0.009125471115112305	-0.01830756664276123	0.03767162561416626	0.11409670114517212	0.0009573996067047119	0.41626691818237305	-0.018833577632904053	-0.002271682024002075	0.10334551334381104	-0.03306865692138672	0.07504690438508987	0.02519264817237854	-0.006385520100593567	0.00016689300537109375	-0.018109381198883057
18	0.06859850883483887	0.104367695748806	0.015976591035723686	0.16395658254623413	-0.32811281085014343	-0.11780071258544922	0.2836016118526459	-0.5725706815719604	0.8365011215209961	0.2857915163040161	0.04525092989206314	0.032746803015470505	1.1910570859909058	-1.569810390472412	0.18170493841171265	0.27650725841522217	0.48809710144996643	0.20544831454753876	-0.40558621287345886	0.31120097637176514	1.3013793230056763	1.4931211471557617	-0.07789187133312225	0.3469497859477997	0.05645323544740677	-0.0739365816116333	0.06263072043657303	0.0457175076007843	0.07080808281898499	0.20224767923355103	0.22858604788780212	0.2509370446205139	-0.011464953422546387	-0.41035786271095276	-0.0453408807516098	-0.08611581474542618	0.006312131881713867	-0.017642974853515625	0.033354759216308594	0.10526180267333984	-0.0031009316444396973	0.4099007844924927	-0.015261024236679077	-0.0045396387577056885	0.08942186832427979	-0.032395124435424805	0.06684325635433197	0.02208501100540161	-0.006720051169395447	0.00022873282432556152	-0.015688687562942505
19	0.06971322745084763	0.10291074216365814	0.01722494140267372	0.16484536230564117	-0.32675081491470337	-0.11380062997341156	0.2880534529685974	-0.5677337050437927	0.8362354040145874	0.2776135504245758	0.04435848072171211	0.031088007614016533	1.1911554336547852	-1.5701563358306885	0.1823299080133438	0.27852439880371094	0.4880061745643616	0.2135830670595169	-0.4058595597743988	0.3110865652561188	1.3030338287353516	1.492477536201477	-0.07663542032241821	0.34735822677612305	0.05440115928649902	-0.07256381213665009	0.06249449402093887	0.04305317997932434	0.06529688835144043	0.19712448120117188	0.21737515926361084	0.23280978202819824	-0.0148087739944458	-0.4085175693035126	-0.04404271021485329	-0.08049332350492477	0.002211332321166992	-0.01704096794128418	0.029573217034339905	0.09621977806091309	-0.004153698682785034	0.40271133184432983	-0.01264810562133789	-0.007158517837524414	0.07685422897338867	-0.03248751163482666	0.059958361089229584	0.018565356731414795	-0.00604093074798584	0.00022873282432556152	-0.013369321823120117
