Iteration,MeanEpisodeLength,MeanReward
608,167.78,7.78
609,123.36,5.65
610,139.56,6.47
611,168.04,8.22
612,146.11,7.01
613,152.79,7.41
614,161.46,7.9
615,160.57,7.85
616,160.21,7.88
617,132.08,6.14
618,136.99,6.57
619,158,7.42
620,134.19,6.3
621,143.59,6.64
622,143.48,6.66
623,137.39,6.12
624,147.95,7.37
625,151.9,7.25
626,175.84,8.85
627,140.68,6.61
628,179.34,8.57
629,168.92,8.35
630,154.13,7.4
631,135.62,6.45
632,148.9,7.46
633,185.93,9.67
634,147.8,7.25
635,166.3,8.09
636,162.86,7.59
637,138.15,6.68
638,149.78,7.3
639,147.06,7.09
640,181.15,8.8
641,161.89,7.65
642,184.26,9.34
643,149.9,7.24
644,147.41,6.87
645,124.03,5.69
646,166.67,8.41
647,132.54,6.3
648,166.07,8.06
649,171.62,8.4
650,127.91,6.08
651,172.85,8.52
652,170.17,8.32
653,161.08,7.49
654,179.49,9.06
655,161.21,7.64
656,167.24,7.93
657,163.56,8.06
658,159.38,7.76
659,172.01,8.46
660,164.22,7.84
661,152.84,7.59
662,147.18,7.33
663,180.9,9.21
664,190.16,9.22
665,177.31,8.97
666,155.98,7.22
667,173.21,8.52
668,125.66,5.95
669,155.47,7.38
670,170.21,8.13
671,156.03,7.64
672,172.71,8.24
673,170.81,8.35
674,154.2,7.27
675,182.15,9.09
676,163.89,7.93
677,151.84,7.45
678,137.87,6.41
679,179.36,8.88
680,160.86,8.02
681,172.66,8.58
682,181.11,9.03
683,149.77,7.29
684,171.95,8.22
685,176.31,8.6
686,174.05,8.54
687,180.71,8.64
688,152.75,7.56
689,132.98,6.46
690,184.01,9.08
691,149.92,7.18
692,194.2,9.46
693,187.65,9.42
694,163.74,7.54
695,164.91,7.97
696,185.74,9.01
697,165.7,7.96
698,190.05,9.51
699,168.45,8.1
700,165.95,8.02
701,156.83,7.63
702,171.88,8.34
703,181,8.86
704,177.78,8.71
705,175.93,8.4
706,145.11,7
707,180.35,9.12
708,182.19,9.08
709,189.37,9.08
710,179.95,8.71
711,171.28,8.47
712,199.79,9.81
713,177.89,8.66
714,189.72,9.4
715,154.86,7.34
716,180.38,9.25
717,209.54,10.32
718,178.53,8.8
719,176.96,8.26
720,172.22,8.37
721,199.67,9.45
722,181.14,8.48
723,198.19,9.72
724,211.15,10.15
725,154.86,7.95
726,177.5,8.56
727,191.69,9.19
728,163.08,7.81
729,167.27,7.98
730,190.7,9.32
731,151.87,7.11
732,170.9,8.05
733,155.73,7.08
734,196.35,9.76
735,189.24,8.92
736,190.66,9.24
737,167.13,7.77
738,172.08,8.18
739,145.3,6.62
740,192.46,9.55
741,157.1,7.52
742,165.66,7.62
743,203.57,9.85
744,194.67,9.25
745,210.25,10.04
746,212.98,10.12
747,181.9,8.61
748,171.62,8.41
749,203.97,9.38
750,191.85,9.44
751,194.45,8.96
