Iteration,MeanEpisodeLength,MeanReward
411,213.61,6.44
412,170.33,5.02
413,237.34,6.78
414,215.6,6.27
415,188.89,5.69
416,198.83,6.09
417,227.44,6.57
418,221.72,6.12
419,225.74,6.71
420,224.93,6.57
421,236.22,6.95
422,252.65,7.05
423,250.6,7.23
424,222.11,7.05
425,235.7,6.44
426,217.22,6.4
427,249.01,7.19
428,205.2,6.33
429,230.63,6.34
430,252.92,7.38
431,225.67,6.81
432,244.67,7.28
433,245.82,6.98
434,233.41,6.63
435,220.3,6.16
436,232.99,6.45
437,227.71,6.74
438,232.33,6.26
439,224.68,6.33
440,220.7,6.29
441,237.49,7.02
442,241.88,6.91
443,248.62,7.17
444,246.81,7.24
445,248.19,7.17
446,198.69,5.76
447,213.56,6.13
448,249.88,6.97
449,235.54,6.24
450,255.2,7.5
451,207.7,5.46
452,216.7,6.44
453,266.17,7.71
454,218.38,6.48
455,221.33,6.67
456,240.82,6.93
457,236.69,7.05
458,260.9,7.88
459,249.56,6.85
460,245.6,6.92
461,211.51,6.14
462,220,6.46
463,206.48,6.06
464,277.62,8.38
465,236.72,6.81
466,196.55,5.66
467,209.12,6.27
468,240.36,7.13
469,276.33,8.16
470,229.99,6.9
471,254.08,7.41
472,255.07,7.57
473,252.15,7.41
474,238.28,7.33
475,241.84,7.31
476,224.74,6.67
477,255.18,7.51
478,247.01,7.24
479,248.77,7.41
480,289.04,8.44
481,249.59,7.42
482,258.06,7.34
483,255.73,7.77
484,231.88,7.06
485,260.23,7.79
486,261.98,7.81
487,255.34,7.28
488,225.23,6.73
489,286.97,8.71
490,242.78,7.26
491,228.68,6.57
492,246.1,7.52
493,257.03,7.94
494,261.08,8.1
495,238.23,7
496,250.85,7.32
497,245.95,7.29
498,267.69,8.58
499,263.17,7.68
500,220.74,6.64
501,265.58,8.13
502,244.21,7.66
503,225.06,6.74
504,228.56,6.79
505,268.74,8.09
506,239.85,7.41
507,257.81,8.16
508,272.98,8.76
509,280.42,8.24
510,266.08,8.23
511,231.74,7.04
512,269.7,8.48
513,253.75,7.89
514,251.82,7.72
515,249.8,7.87
516,241.02,7.29
517,247.57,7.06
518,280.43,8.66
519,277.32,8.39
520,263.04,7.99
521,242.81,7.07
522,274.84,8.45
523,254.3,7.87
524,268.3,8.1
525,243.13,7.41
526,266.65,7.58
527,285.23,8.28
528,262.68,8.2
529,201.63,6
530,240.65,7.26
531,269.76,7.97
532,255.6,7.81
533,249.41,7.98
534,272.92,8.52
535,276.53,8.32
536,272.32,8.24
537,242.2,7.39
538,274.34,8.46
539,254.78,7.79
540,261.9,8.08
541,273.47,8.68
542,244.87,7.41
543,227.41,6.91
544,281.74,8.4
545,264.76,8.05
546,279.4,8.27
547,256.72,7.61
548,252.64,7.36
549,310.16,9.47
550,247.86,7.24
551,266.51,8.17
552,272.43,8.31
553,272.9,8.54
554,292.63,8.95
555,252.34,7.55
556,296.17,9.13
557,275.77,8.32
558,313.97,9.32
559,280.08,8.56
560,283.11,8.29
561,266.49,7.94
562,278.08,8.44
563,293.2,8.69
564,264.06,7.88
565,281.74,8.58
566,261.03,7.93
567,273.38,8.17
568,283.24,8.56
569,296.97,9.24
570,284.67,8.77
571,266.49,8.53
572,298.73,9.54
573,284.04,8.39
574,261.59,7.99
575,264.98,7.91
576,259.14,7.8
577,264.18,8.1
578,279.83,8.59
579,262.97,7.88
580,257.56,7.72
581,270.83,8.23
582,240.36,7.44
583,286.16,8.2
584,269.65,8.03
585,319.7,9.69
586,290.41,9.04
587,253.06,7.93
588,286.42,8.75
589,276.88,8.13
590,292.83,8.67
591,299.32,9.2
592,285.6,8.58
593,286,8.91
594,238.51,7.39
595,260,8.12
596,311.27,9.63
597,272.1,8.38
598,272.86,8.23
599,287.52,8.7
600,298.73,9.39
601,285.61,8.46
602,298.76,9.2
603,273.45,8.46
604,277.76,8.33
605,294.66,9.07
606,253.8,7.72
607,314.09,9.66
608,305.48,9.56
