timestep	ref_qpos_L_hip_yaw	ref_qpos_L_shoulder_pitch	ref_qpos_R_hip_yaw	ref_qpos_R_shoulder_pitch	ref_qpos_L_hip_roll	ref_qpos_L_shoulder_roll	ref_qpos_R_hip_roll	ref_qpos_R_shoulder_roll	ref_qpos_L_hip_pitch	ref_qpos_L_shoulder_yaw	ref_qpos_R_hip_pitch	ref_qpos_R_shoulder_yaw	ref_qpos_L_knee_pitch	ref_qpos_L_elbow_pitch	ref_qpos_R_knee_pitch	ref_qpos_R_elbow_pitch	ref_qpos_L_ankle_pitch	ref_qpos_L_wrist_yaw	ref_qpos_R_ankle_pitch	ref_qpos_R_wrist_yaw	ref_qpos_L_ankle_roll	ref_qpos_R_ankle_roll	ref_qvel_L_hip_yaw	ref_qvel_L_shoulder_pitch	ref_qvel_R_hip_yaw	ref_qvel_R_shoulder_pitch	ref_qvel_L_hip_roll	ref_qvel_L_shoulder_roll	ref_qvel_R_hip_roll	ref_qvel_R_shoulder_roll	ref_qvel_L_hip_pitch	ref_qvel_L_shoulder_yaw	ref_qvel_R_hip_pitch	ref_qvel_R_shoulder_yaw	ref_qvel_L_knee_pitch	ref_qvel_L_elbow_pitch	ref_qvel_R_knee_pitch	ref_qvel_R_elbow_pitch	ref_qvel_L_ankle_pitch	ref_qvel_L_wrist_yaw	ref_qvel_R_ankle_pitch	ref_qvel_R_wrist_yaw	ref_qvel_L_ankle_roll	ref_qvel_R_ankle_roll	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
1013	0.23078200221061707	0.561603307723999	0.09479419142007828	-0.45374786853790283	0.05346952751278877	0.2065812647342682	0.0014916855143383145	0.4207092821598053	0.07530470937490463	-0.7524929642677307	0.06696497648954391	-0.26505982875823975	-0.08207032829523087	0.7104672193527222	-0.07724771648645401	2.019298791885376	0.09098834544420242	0.716939389705658	0.09581165760755539	0.6247191429138184	0.03401675820350647	0.05179286748170853	-0.12712404131889343	-1.8952041864395142	0.12706704437732697	-0.02548694610595703	-0.02314383164048195	0.24496875703334808	0.011584483087062836	0.08436664938926697	0.02058912068605423	0.1170232892036438	0.02405792474746704	0.02466738224029541	0.033671408891677856	2.070221424102783	0.035541318356990814	-0.024718046188354492	-0.023450888693332672	1.226380467414856	-0.01698918640613556	-0.2191990613937378	-0.004477705806493759	0.0026724301278591156	-0.004195794463157654	-0.0016003847122192383	-0.0005513429641723633
1014	0.22842544317245483	0.5270366668701172	0.09719815850257874	-0.4543784260749817	0.0532853789627552	0.21361476182937622	0.001441457774490118	0.4221286177635193	0.07589578628540039	-0.7488755583763123	0.06738881021738052	-0.2646154761314392	-0.08158409595489502	0.7458242774009705	-0.07647485285997391	2.019179582595825	0.09057711064815521	0.7328717708587646	0.09549660980701447	0.6204264163970947	0.03389609977602959	0.05185658484697342	-0.1131795346736908	-1.6448825597763062	0.11676345020532608	-0.034549832344055176	-0.002237968146800995	0.40503665804862976	-0.00956039596349001	0.06426796317100525	0.03403667360544205	0.21279901266098022	0.019758380949497223	0.020992755889892578	0.019630976021289825	1.6166448593139648	0.04019457846879959	0.003415346145629883	-0.01911688596010208	0.5817070603370667	-0.015133805572986603	-0.21235793828964233	-0.006810668855905533	0.003442540764808655	-0.006745383143424988	0.0008113682270050049	-0.0012695789337158203
1015	0.22625482082366943	0.4958080053329468	0.09946472942829132	-0.45512986183166504	0.05338000878691673	0.22278273105621338	0.001109269680455327	0.4232800006866455	0.07666617631912231	-0.7439810037612915	0.0677553117275238	-0.26422011852264404	-0.08128508925437927	0.7751330137252808	-0.07563993334770203	2.019435405731201	0.09022367000579834	0.7402076721191406	0.09520630538463593	0.6162248253822327	0.03374433144927025	0.05193056911230087	-0.10853670537471771	-1.56151282787323	0.11333413422107697	-0.03757402300834656	0.0047316774725914	0.4584215581417084	-0.016610251739621162	0.057572126388549805	0.03852136433124542	0.24473965167999268	0.018325820565223694	0.0197678804397583	0.014951266348361969	1.465512752532959	0.04174802452325821	0.012797117233276367	-0.017673149704933167	0.36681294441223145	-0.014515966176986694	-0.21008998155593872	-0.007588695734739304	0.003699306398630142	-0.007595494389533997	0.0016145408153533936	-0.0015109777450561523
1016	0.22408397495746613	0.4645761549472809	0.10173152387142181	-0.45588138699531555	0.05347464606165886	0.23195162415504456	0.0007770477095618844	0.4244315028190613	0.07743664085865021	-0.7390859723091125	0.06812184303998947	-0.2638247609138489	-0.08098604530096054	0.8044447898864746	-0.07480493187904358	2.0196914672851562	0.08987018465995789	0.7475442886352539	0.094915971159935	0.6120228171348572	0.033592551946640015	0.052004557102918625	-0.11082738637924194	-1.7153010368347168	0.12437701225280762	-0.05014687776565552	-0.0067390501499176025	0.43234601616859436	-0.0058235470205545425	0.05596280097961426	0.03451108932495117	0.3123447299003601	0.022152811288833618	0.040065497159957886	0.02331528812646866	1.726736068725586	0.043035298585891724	0.008857250213623047	-0.02146214246749878	0.2629607915878296	-0.01579727977514267	-0.2169400453567505	-0.008390750735998154	0.0021822750568389893	-0.007173791527748108	0.0003933906555175781	-0.0014960765838623047
1017	0.22182172536849976	0.4271959662437439	0.10443980991840363	-0.45713573694229126	0.05311044678092003	0.24007657170295715	0.0008763278019614518	0.4255185127258301	0.07804661989212036	-0.7314872145652771	0.06864142417907715	-0.2626174986362457	-0.08035247772932053	0.84420245885849	-0.07391852140426636	2.019789695739746	0.08936518430709839	0.7507261037826538	0.09457441419363022	0.6075472235679626	0.03340870141983032	0.05201786011457443	-0.11767707765102386	-2.1763041019439697	0.15747901797294617	-0.08785426616668701	-0.041148532181978226	0.3540348410606384	0.02653665468096733	0.051124393939971924	0.02247355878353119	0.5150869488716125	0.033629126846790314	0.10095164179801941	0.048401206731796265	2.510025978088379	0.04688873887062073	-0.0029802322387695312	-0.032824091613292694	-0.048641860485076904	-0.019637495279312134	-0.23745298385620117	-0.010795239359140396	-0.0023690052330493927	-0.005906820297241211	-0.003267824649810791	-0.0014394521713256836
1018	0.21937689185142517	0.3775239884853363	0.10803068429231644	-0.45939555764198303	0.05182870477437973	0.24611301720142365	0.001838513882830739	0.42647647857666016	0.07833558320999146	-0.718482494354248	0.06946700811386108	-0.2597866952419281	-0.07904999703168869	0.9048458337783813	-0.07292938232421875	2.0195722579956055	0.08855722099542618	0.7455986142158508	0.09413047134876251	0.6025246977806091	0.0331607423722744	0.05190979689359665	-0.12224167585372925	-2.4835989475250244	0.17954391241073608	-0.11299103498458862	-0.06408728659152985	0.3018222749233246	0.04810930788516998	0.047898292541503906	0.01444835215806961	0.650237500667572	0.04127919673919678	0.14154016971588135	0.0651240348815918	3.0321688652038574	0.04945676773786545	-0.01087188720703125	-0.040398165583610535	-0.25637149810791016	-0.022196955978870392	-0.2511262893676758	-0.012397952377796173	-0.005403254181146622	-0.005061738193035126	-0.005710870027542114	-0.0014007091522216797
1019	0.21693205833435059	0.3278520107269287	0.11162156611680984	-0.4616553783416748	0.050546955317258835	0.25214946269989014	0.002800700021907687	0.42743444442749023	0.07862455397844315	-0.7054777145385742	0.07029259204864502	-0.2569558918476105	-0.07774751633405685	0.9654892086982727	-0.07194025069475174	2.019354820251465	0.08774925768375397	0.7404712438583374	0.0936865359544754	0.5975021719932556	0.032912783324718475	0.05180172994732857	-0.12224763631820679	-2.4837241172790527	0.17955303192138672	-0.11299625039100647	-0.0640905499458313	0.3018375635147095	0.048111751675605774	0.047901272773742676	0.014449283480644226	0.6502732634544373	0.04128124564886093	0.14154687523841858	0.06512738764286041	3.0323238372802734	0.04945918917655945	-0.01087188720703125	-0.04040040075778961	-0.2563849091529846	-0.022197887301445007	-0.25113821029663086	-0.012398604303598404	-0.005403533577919006	-0.005061924457550049	-0.005711615085601807	-0.0014036893844604492
1020	0.2144869863986969	0.27817502617836	0.1152128055691719	-0.4639154076576233	0.04926508292555809	0.2581865191459656	0.00376298394985497	0.42839252948760986	0.07891355454921722	-0.6924715638160706	0.07111825793981552	-0.25412482023239136	-0.07644490152597427	1.0261387825012207	-0.07095101475715637	2.019137382507324	0.0869412049651146	0.7353432178497314	0.09324255585670471	0.5924791693687439	0.03266479820013046	0.05169365555047989	-0.113726407289505	-2.186138153076172	0.15302729606628418	-0.07253140211105347	-0.032423995435237885	0.2610832452774048	0.01754470355808735	-0.006042420864105225	0.014810822904109955	0.6468042731285095	0.0296836718916893	0.1079358160495758	0.06830636411905289	2.3859188556671143	0.057107023894786835	-0.05894899368286133	-0.03861803561449051	-0.1996755599975586	-0.024395063519477844	-0.13204365968704224	-0.012955162674188614	-0.00286223366856575	-0.006826035678386688	-0.006906688213348389	-0.001183152198791504
1021	0.21238300204277039	0.24040648341178894	0.11774265766143799	-0.46455663442611694	0.04924999549984932	0.26259279251098633	0.003502488136291504	0.427192747592926	0.07921698689460754	-0.6796055436134338	0.07147993892431259	-0.25263845920562744	-0.07501526176929474	1.0609259605407715	-0.06965596973896027	2.0169968605041504	0.08620453625917435	0.7324842214584351	0.09271073341369629	0.5922204256057739	0.03239457681775093	0.05168724060058594	-0.10518878698348999	-1.8882348537445068	0.12647974491119385	-0.03205686807632446	-0.000754278153181076	0.22029057145118713	-0.013023457489907742	-0.059983134269714355	0.015170127153396606	0.643235445022583	0.018082372844219208	0.07431060075759888	0.07147472351789474	1.7391860485076904	0.06474591791629791	-0.10702013969421387	-0.036829523742198944	-0.1429349184036255	-0.026588886976242065	-0.01293569803237915	-0.013509765267372131	-0.0003205612301826477	-0.008588656783103943	-0.008101016283035278	-0.0009596347808837891
1022	0.2102794349193573	0.20264562964439392	0.12027199566364288	-0.46519768238067627	0.04923491179943085	0.26699814200401306	0.0032420456409454346	0.4259932041168213	0.07952035963535309	-0.6667421460151672	0.07184155285358429	-0.2511523962020874	-0.07358591258525848	1.0957062244415283	-0.06836117804050446	2.0148565769195557	0.08546802401542664	0.7296258211135864	0.09217900037765503	0.5919617414474487	0.03212440758943558	0.05168083310127258	-0.10518878698348999	-1.888235330581665	0.12647993862628937	-0.03205686807632446	-0.0007541850209236145	0.22028982639312744	-0.013023464009165764	-0.059983134269714355	0.01516975462436676	0.643235445022583	0.018082186579704285	0.07431060075759888	0.07147453725337982	1.7391890287399292	0.06474591791629791	-0.10702013969421387	-0.03682971000671387	-0.1429349184036255	-0.026588886976242065	-0.01293569803237915	-0.013509765267372131	-0.0003205612301826477	-0.008588656783103943	-0.008101016283035278	-0.0009596347808837891
1023	0.2081754505634308	0.16487707197666168	0.12280185520648956	-0.4658389091491699	0.049219828099012375	0.2714043855667114	0.002981549594551325	0.42479342222213745	0.07982377707958221	-0.6538761258125305	0.07220322638750076	-0.2496660351753235	-0.07215628027915955	1.1304935216903687	-0.06706613302230835	2.012716054916382	0.08473134785890579	0.72676682472229	0.0916471779346466	0.5917029976844788	0.031854186207056046	0.05167441815137863	-0.11970736086368561	-1.8613625764846802	0.1321457326412201	-0.03839731216430664	-0.011526420712471008	0.2054743468761444	-0.0019525177776813507	-0.053785741329193115	0.014776550233364105	0.7001981139183044	0.02454575151205063	0.0885646790266037	0.06468109786510468	1.6051262617111206	0.05742199718952179	-0.08809566497802734	-0.033583864569664	-0.11307597160339355	-0.027644820511341095	-0.047321617603302	-0.010850746184587479	-0.003602355718612671	-0.006261840462684631	-0.006464868783950806	-0.0008672475814819336
1024	0.20549114048480988	0.12819112837314606	0.1255578249692917	-0.46673357486724854	0.04877385497093201	0.27521711587905884	0.0031639449298381805	0.42384177446365356	0.08011142164468765	-0.6387342214584351	0.07282338291406631	-0.24760980904102325	-0.0709986686706543	1.1599112749099731	-0.06606429815292358	2.0113327503204346	0.08412466943264008	0.7251027822494507	0.09107320755720139	0.5900688767433167	0.03169037774205208	0.051536738872528076	-0.14148131012916565	-1.8209025859832764	0.14063604176044464	-0.04790574312210083	-0.027687475085258484	0.18323063850402832	0.014657439664006233	-0.04448220133781433	0.014185905456542969	0.7856056094169617	0.03424156457185745	0.10994374752044678	0.0544840469956398	1.4038711786270142	0.04642978310585022	-0.05969405174255371	-0.02871062606573105	-0.06826817989349365	-0.02922751009464264	-0.0989079475402832	-0.0068605877459049225	-0.008525699377059937	-0.0027701258659362793	-0.004007667303085327	-0.0007361173629760742
1025	0.20251619815826416	0.09204097092151642	0.12842729687690735	-0.46775513887405396	0.048112329095602036	0.27873361110687256	0.0035678471904248	0.4230141341686249	0.08039121329784393	-0.622451901435852	0.07357288897037506	-0.24526828527450562	-0.06997691839933395	1.1866483688354492	-0.06520894169807434	2.0103282928466797	0.08358292281627655	0.7240360975265503	0.0904780775308609	0.5877466797828674	0.03157976269721985	0.051333390176296234	-0.14874674379825592	-1.807507872581482	0.14347322285175323	-0.051078200340270996	-0.033076293766498566	0.17582476139068604	0.020195113494992256	-0.041382014751434326	0.013989582657814026	0.8141174912452698	0.03747530281543732	0.11707618832588196	0.05108751356601715	1.336851716041565	0.04276782274246216	-0.05022883415222168	-0.027087703347206116	-0.05333423614501953	-0.029756315052509308	-0.11610984802246094	-0.005530845373868942	-0.010167434811592102	-0.0016061589121818542	-0.003189593553543091	-0.0006943941116333008
1026	0.19954127073287964	0.05589081346988678	0.13129675388336182	-0.4687767028808594	0.047450803220272064	0.2822501063346863	0.003971749451011419	0.4221864938735962	0.08067100495100021	-0.6061695218086243	0.07432239502668381	-0.24292676150798798	-0.06895516812801361	1.2133853435516357	-0.0643535852432251	2.0093235969543457	0.08304116129875183	0.7229694128036499	0.08988295495510101	0.5854244828224182	0.03146914392709732	0.05113004148006439	-0.1525983214378357	-1.904786229133606	0.15054233372211456	-0.0557631254196167	-0.028830673545598984	0.12361034750938416	0.01614619418978691	-0.0416293740272522	0.012840516865253448	0.925523042678833	0.034925900399684906	0.11394806206226349	0.055246613919734955	1.3650715351104736	0.04707071930170059	-0.049996376037597656	-0.027369149029254913	0.014191865921020508	-0.03128461539745331	-0.13827383518218994	-0.007565505802631378	-0.011074449867010117	-0.0028038397431373596	-0.004954636096954346	-0.0006258487701416016
