timestep	qpos_L_hip_yaw	qpos_L_shoulder_pitch	qpos_R_hip_yaw	qpos_R_shoulder_pitch	qpos_L_hip_roll	qpos_L_shoulder_roll	qpos_R_hip_roll	qpos_R_shoulder_roll	qpos_L_hip_pitch	qpos_L_shoulder_yaw	qpos_R_hip_pitch	qpos_R_shoulder_yaw	qpos_L_knee_pitch	qpos_L_elbow_pitch	qpos_R_knee_pitch	qpos_R_elbow_pitch	qpos_L_ankle_pitch	qpos_L_wrist_yaw	qpos_R_ankle_pitch	qpos_R_wrist_yaw	qpos_L_ankle_roll	qpos_R_ankle_roll	qvel_L_hip_yaw	qvel_L_shoulder_pitch	qvel_R_hip_yaw	qvel_R_shoulder_pitch	qvel_L_hip_roll	qvel_L_shoulder_roll	qvel_R_hip_roll	qvel_R_shoulder_roll	qvel_L_hip_pitch	qvel_L_shoulder_yaw	qvel_R_hip_pitch	qvel_R_shoulder_yaw	qvel_L_knee_pitch	qvel_L_elbow_pitch	qvel_R_knee_pitch	qvel_R_elbow_pitch	qvel_L_ankle_pitch	qvel_L_wrist_yaw	qvel_R_ankle_pitch	qvel_R_wrist_yaw	qvel_L_ankle_roll	qvel_R_ankle_roll	root_vel_x	root_vel_y	root_vel_z
1145	-0.0910693109035492	-0.6904138326644897	0.48014017939567566	1.6219185590744019	0.13960669934749603	0.31109002232551575	0.010441127233207226	0.17850172519683838	0.13345350325107574	-0.21659152209758759	0.09317322075366974	-1.2161545753479004	-0.18031829595565796	2.0647077560424805	-0.14870645105838776	0.483412504196167	0.07161327451467514	0.004191676154732704	0.07256332784891129	0.7689584493637085	-0.06951678544282913	-0.03650062903761864	-0.1014411523938179	0.12124912440776825	0.047401756048202515	0.044174790382385254	0.07908816635608673	-0.21597059071063995	-0.080451101064682	0.04474261775612831	0.12138964235782623	0.04692912846803665	-0.03435870260000229	-0.2196415662765503	-0.056079912930727005	0.21965208649635315	0.15329298377037048	-0.3215312659740448	0.008426366373896599	-2.702362298965454	-0.05351706221699715	-7.998733043670654	-0.2317933440208435	-0.0028190910816192627	0.005694561637938023	-0.0491303913295269	-0.009830496273934841
1146	-0.09372926503419876	-0.6852253079414368	0.48303765058517456	1.6218944787979126	0.1404566466808319	0.3059648871421814	0.009256084449589252	0.1805439293384552	0.1366296410560608	-0.21538059413433075	0.09462198615074158	-1.2210956811904907	-0.18317623436450958	2.0683841705322266	-0.14912621676921844	0.4780609607696533	0.07291026413440704	-0.064925916492939	0.07301820814609528	0.6089109182357788	-0.07247226685285568	-0.03647368401288986	-0.11087694764137268	0.3495778441429138	0.08072099834680557	-0.07683887332677841	-0.032298702746629715	-0.2546904981136322	0.02221071347594261	0.1807268112897873	0.15981760621070862	-0.007585684768855572	0.09199529886245728	-0.1373220831155777	-0.16854523122310638	0.19019466638565063	-0.07101602107286453	-0.09202610701322556	0.08885280787944794	-1.3730850219726562	0.047290168702602386	-7.99721622467041	0.023450031876564026	-0.057386577129364014	0.008935922756791115	-0.04993946850299835	-0.009871568530797958
1147	-0.09617654234170914	-0.6788855195045471	0.48567360639572144	1.6195406913757324	0.13961181044578552	0.30085521936416626	0.009852121584117413	0.18357640504837036	0.13854363560676575	-0.21464699506759644	0.09749741107225418	-1.2240688800811768	-0.18552930653095245	2.072788715362549	-0.15280096232891083	0.477326363325119	0.07457827031612396	-0.11888738721609116	0.07516227662563324	0.4488717019557953	-0.07289770990610123	-0.037148308008909225	-0.070631243288517	0.29996395111083984	0.03595347702503204	-0.16742856800556183	-0.05037253350019455	-0.23775433003902435	0.049930691719055176	0.16797640919685364	0.09880632162094116	0.04139050096273422	0.12461841851472855	-0.020336616784334183	-0.1178380697965622	0.2501649558544159	-0.1613563895225525	0.10967925935983658	0.07718826830387115	-1.200377345085144	0.10321196168661118	-7.998560428619385	-0.0301571786403656	-0.08280803263187408	0.00934298150241375	-0.052830927073955536	-0.010142866522073746
1148	-0.09706628322601318	-0.6737320423126221	0.48670077323913574	1.6155033111572266	0.13833250105381012	0.29693374037742615	0.011075837537646294	0.18605944514274597	0.13874009251594543	-0.213033065199852	0.09980342537164688	-1.2252089977264404	-0.18604090809822083	2.076122522354126	-0.15638385713100433	0.4805228114128113	0.07570856809616089	-0.16668713092803955	0.07753321528434753	0.28883883357048035	-0.07307912409305573	-0.037978071719408035	-0.0077461786568164825	0.2328708916902542	-0.04232750087976456	-0.2681956887245178	-0.09100005030632019	-0.1549096554517746	0.10076332092285156	0.16719983518123627	-0.013121012598276138	0.07802693545818329	0.07659068703651428	0.18452754616737366	0.0012037083506584167	0.18359413743019104	-0.1266661286354065	0.34630724787712097	0.043439384549856186	-0.7307627201080322	0.09929630160331726	-7.998991966247559	0.03657574951648712	-0.08840957283973694	0.006474597379565239	-0.054671160876750946	-0.004546797834336758
1149	-0.09821435809135437	-0.6697229146957397	0.48792049288749695	1.6110789775848389	0.13723547756671906	0.29614534974098206	0.012350078672170639	0.19053129851818085	0.13757754862308502	-0.21077477931976318	0.10061884671449661	-1.2249596118927002	-0.18514272570610046	2.080491304397583	-0.15834800899028778	0.48644575476646423	0.07647444307804108	-0.18309493362903595	0.07940594106912613	0.12881244719028473	-0.07358155399560928	-0.03888026252388954	-0.10040546208620071	0.20050188899040222	0.06456635147333145	-0.22262266278266907	-0.03188440203666687	0.01753341034054756	0.048847466707229614	0.25654393434524536	-0.05324888974428177	0.09327288717031479	-0.003598594106733799	0.17700019478797913	0.03710459545254707	0.2884666323661804	-0.03137631714344025	0.23719602823257446	0.05223109573125839	0.2624925673007965	0.06620121002197266	-7.999567031860352	-0.042817093431949615	-0.06416615843772888	0.006018342450261116	-0.05789709463715553	-0.00372713734395802
1150	-0.10119861364364624	-0.6660776138305664	0.4908868670463562	1.6069847345352173	0.13592469692230225	0.2961718738079071	0.01405359711498022	0.1968170404434204	0.13525037467479706	-0.20961585640907288	0.09980498254299164	-1.2231392860412598	-0.1841341108083725	2.085975408554077	-0.15891677141189575	0.49029800295829773	0.0776662528514862	-0.2039797604084015	0.08097127079963684	-0.03120887652039528	-0.07212444394826889	-0.0397673174738884	-0.16016098856925964	0.1754082441329956	0.1307673305273056	-0.306142657995224	-0.11374121904373169	0.01339008193463087	0.15115831792354584	0.393875390291214	-0.17272059619426727	-0.018357200548052788	-0.10238668322563171	0.38436266779899597	0.05800504982471466	0.29375147819519043	0.009140770882368088	0.3283790946006775	0.09125305712223053	0.4871247410774231	0.07984395325183868	-7.999422550201416	0.2157323658466339	-0.11263467371463776	0.006392105016857386	-0.054799553006887436	0.0061052171513438225
1151	-0.1055360957980156	-0.6639504432678223	0.49502480030059814	1.6012167930603027	0.1336839348077774	0.29641950130462646	0.017032191157341003	0.20527547597885132	0.1303085833787918	-0.20966048538684845	0.09746347367763519	-1.2189351320266724	-0.18067528307437897	2.092132329940796	-0.1582655906677246	0.4949509799480438	0.07757244259119034	-0.20776383578777313	0.08222705125808716	-0.19122417271137238	-0.06974974274635315	-0.04105459526181221	-0.21044106781482697	0.05836458504199982	0.16167578101158142	-0.2955184876918793	-0.11840350925922394	0.01621425524353981	0.15636473894119263	0.3655925393104553	-0.2263372838497162	0.020128283649683	-0.1263045072555542	0.564308226108551	0.19459009170532227	0.3402976393699646	0.1020432561635971	0.1435718834400177	-0.022153891623020172	1.297026515007019	0.02848605439066887	-7.999722003936768	0.10532799363136292	-0.14415553212165833	0.005865087732672691	-0.054706040769815445	0.007913214154541492
1152	-0.10854783654212952	-0.6646003127098083	0.49790680408477783	1.5980514287948608	0.13086004555225372	0.2968769967556	0.0201403945684433	0.21095921099185944	0.12669748067855835	-0.2081282138824463	0.0969310849905014	-1.2126234769821167	-0.17747214436531067	2.097738027572632	-0.15853668749332428	0.4976186752319336	0.07694289833307266	-0.20908167958259583	0.08343616873025894	-0.35123059153556824	-0.06672314554452896	-0.042220138013362885	-0.08531211316585541	-0.033496737480163574	0.06271196156740189	-0.2008519470691681	-0.1900319755077362	0.05437092483043671	0.1857370138168335	0.2652616798877716	-0.17400085926055908	0.035342030227184296	-0.017991861328482628	0.640647292137146	0.13877786695957184	0.316373735666275	-0.043695516884326935	0.2257988452911377	0.07134581357240677	1.4350589513778687	0.09354008734226227	-7.999572277069092	0.6563498377799988	-0.08944130688905716	0.0019406883511692286	-0.051115453243255615	0.00780839566141367
1153	-0.11003861576318741	-0.6646032929420471	0.4993097484111786	1.5959173440933228	0.12845857441425323	0.2982404828071594	0.022385872900485992	0.21528851985931396	0.12393655627965927	-0.20657239854335785	0.09663888067007065	-1.205190896987915	-0.1740311235189438	2.1047565937042236	-0.1579635739326477	0.5010218620300293	0.07562819123268127	-0.2070636749267578	0.08380605280399323	-0.5112311244010925	-0.06294655054807663	-0.04053265228867531	0.042425937950611115	0.01238023117184639	-0.02891947329044342	-0.1128283441066742	-0.12392126023769379	0.07263734936714172	0.07118181884288788	0.15930254757404327	-0.09272485971450806	0.05507613345980644	-0.03898292034864426	0.6104612946510315	0.17691637575626373	0.3643002510070801	0.10580044984817505	0.10222133249044418	0.04001205414533615	1.5910683870315552	-0.009653551504015923	-7.9995808601379395	0.8127878308296204	0.18701055645942688	0.0064463065937161446	-0.04453037306666374	0.011841414496302605
1154	-0.11159908771514893	-0.6623010039329529	0.5007756948471069	1.594680666923523	0.12715895473957062	0.30046024918556213	0.02294587716460228	0.21911461651325226	0.12249480932950974	-0.2062893956899643	0.09608561545610428	-1.1977627277374268	-0.1710321456193924	2.1090424060821533	-0.15596534311771393	0.5009786486625671	0.0735916793346405	-0.20255061984062195	0.08300530165433884	-0.6712309122085571	-0.05833742022514343	-0.032756056636571884	-0.03636808320879936	0.12213495373725891	0.08271754533052444	-0.07905835658311844	-0.11471585929393768	0.09875419735908508	0.04134926199913025	0.15204696357250214	-0.08807457238435745	0.04537109285593033	-0.0666808933019638	0.562381386756897	0.10465456545352936	0.22406379878520966	0.09352359175682068	-0.21619871258735657	0.11355835944414139	1.7087984085083008	-0.01169482059776783	-7.999675750732422	1.1439704895019531	0.3899732828140259	0.012023328803479671	-0.03163241222500801	0.01907273568212986
1155	-0.11277206987142563	-0.662438690662384	0.5020212531089783	1.5953431129455566	0.1272728592157364	0.3012840747833252	0.021937942132353783	0.22280268371105194	0.1212676540017128	-0.20204073190689087	0.09676360338926315	-1.1891990900039673	-0.1676027923822403	2.1145403385162354	-0.1567201018333435	0.4980871379375458	0.07186213880777359	-0.20186850428581238	0.08346788585186005	-0.8312276601791382	-0.05553310364484787	-0.021180586889386177	0.03872549161314964	-0.07405699044466019	-0.03100796788930893	0.005524380598217249	0.035497624427080154	0.05803440883755684	-0.10343841463327408	0.25755575299263	-0.016080817207694054	0.22594067454338074	0.06221137195825577	0.7018778324127197	0.18314814567565918	0.3250860273838043	-0.06443499028682709	0.12934798002243042	-0.01702093333005905	0.5913640856742859	0.04532630369067192	-7.999683856964111	0.3907994031906128	0.6322411298751831	0.019296567887067795	-0.03325361758470535	0.00909380242228508
1156	-0.11319458484649658	-0.6632055640220642	0.502781867980957	1.5966365337371826	0.12806309759616852	0.3043633997440338	0.020414795726537704	0.2286207675933838	0.12173138558864594	-0.19863508641719818	0.09755714237689972	-1.178943395614624	-0.166297048330307	2.1192803382873535	-0.1568329930305481	0.5008735060691833	0.07306862622499466	-0.21725788712501526	0.08349789679050446	-0.9912207126617432	-0.053846899420022964	-0.015374566428363323	-0.072853222489357	0.00046172039583325386	0.10060600191354752	-0.05684003233909607	0.016819974407553673	0.177959606051445	-0.03331562131643295	0.33956044912338257	0.01518947258591652	0.13754412531852722	0.013017124496400356	0.9519056677818298	0.0019076005555689335	0.21736177802085876	0.008655322715640068	0.2503400146961212	0.12206052243709564	0.7164977192878723	-0.0016228631138801575	-7.9995012283325195	0.08615194261074066	0.07342741638422012	0.016150355339050293	-0.025357676669955254	-0.0030313911847770214
1157	-0.11515183001756668	-0.6631820797920227	0.5049275755882263	1.5959078073501587	0.12644091248512268	0.30605852603912354	0.02228296920657158	0.23534737527370453	0.12262620776891708	-0.19539831578731537	0.09802013635635376	-1.1658529043197632	-0.169937863945961	2.121809720993042	-0.15779875218868256	0.5040954947471619	0.07741434872150421	-0.23009485006332397	0.08423692733049393	-1.1512089967727661	-0.05025079846382141	-0.021600186824798584	-0.0749935507774353	-0.01699886843562126	0.10601094365119934	-0.15252035856246948	-0.14393098652362823	0.027622656896710396	0.17787384986877441	0.26308268308639526	0.05253726616501808	0.12582358717918396	0.030742809176445007	1.2036412954330444	-0.262194961309433	0.08603987842798233	-0.08641932904720306	0.15267375111579895	0.1884811967611313	0.845974326133728	0.06373517215251923	-7.999200344085693	0.14333827793598175	-0.5199791193008423	0.014004635624587536	-0.015327490866184235	-0.009492863900959492
1158	-0.11539769172668457	-0.6654134392738342	0.5052956938743591	1.5948008298873901	0.1239084005355835	0.30507999658584595	0.025343425571918488	0.23988063633441925	0.12133167684078217	-0.1929498165845871	0.09863545745611191	-1.1500684022903442	-0.17013581097126007	2.12263822555542	-0.15911073982715607	0.5085036754608154	0.07970748841762543	-0.24123020470142365	0.08517418801784515	-1.311194658279419	-0.04848911613225937	-0.029990125447511673	0.02170421928167343	-0.13337330520153046	-0.01159585639834404	-0.13552580773830414	-0.058802153915166855	-0.0066741593182086945	0.07938392460346222	0.2117738276720047	-0.09456989169120789	0.050961513072252274	0.026864390820264816	1.2237728834152222	0.15071235597133636	0.05911644548177719	-0.025379080325365067	0.36117035150527954	-0.06429935991764069	0.7944654822349548	0.019428621977567673	-7.999317646026611	-0.17768646776676178	-0.21496281027793884	0.01666114665567875	-0.021326817572116852	-0.00579769117757678
1159	-0.11497104167938232	-0.6666221618652344	0.5049837231636047	1.5947192907333374	0.1219833642244339	0.30632781982421875	0.02724495530128479	0.2432253211736679	0.12216189503669739	-0.19377753138542175	0.10069309175014496	-1.1319174766540527	-0.1710037887096405	2.1212124824523926	-0.16073724627494812	0.5134797692298889	0.08026870340108871	-0.25250253081321716	0.08578535169363022	-1.4711836576461792	-0.048586029559373856	-0.03490753844380379	0.002217186614871025	-0.0076460265554487705	-0.0019186967983841896	-0.08326930552721024	-0.1370013803243637	0.06890740245580673	0.13232894241809845	0.05305773392319679	0.076690673828125	-0.10146075487136841	0.142075315117836	1.659066081047058	-0.11100265383720398	-0.16145974397659302	-0.11491765826940536	0.11051366478204727	0.06946699321269989	0.9148042798042297	0.0285433791577816	-7.999363422393799	0.08599472790956497	-0.3209456503391266	0.008143342100083828	-0.020457200706005096	-0.009262115694582462
1160	-0.1141081154346466	-0.6674862504005432	0.5043321847915649	1.597590446472168	0.11986353993415833	0.3061881959438324	0.029284555464982986	0.24461056292057037	0.12284088879823685	-0.19497816264629364	0.10295899957418442	-1.1115177869796753	-0.1696700155735016	2.115938663482666	-0.16079992055892944	0.5147047638893127	0.07926120609045029	-0.2617442309856415	0.08537932485342026	-1.6311739683151245	-0.05095498636364937	-0.042794402688741684	0.07073739171028137	-0.08647061884403229	-0.0844704657793045	0.14926743507385254	-0.05855078250169754	-0.03043251484632492	0.04999939724802971	0.0006112850969657302	0.03181931748986244	-0.0811440572142601	0.08992137759923935	1.3102240562438965	0.15248626470565796	-0.26516175270080566	0.08223523944616318	-0.054532740265131	-0.11451391875743866	1.0187562704086304	-0.08181306719779968	-7.99945068359375	-0.2394099235534668	-0.3031269907951355	0.006779945455491543	-0.031071463599801064	-0.013139240443706512
1161	-0.11417663842439651	-0.6674845814704895	0.5047041177749634	1.6018434762954712	0.1184062585234642	0.30571678280830383	0.03030923381447792	0.24718250334262848	0.12419112026691437	-0.19849523901939392	0.1047973781824112	-1.0924361944198608	-0.16779817640781403	2.108389139175415	-0.15889182686805725	0.5132740139961243	0.07770679146051407	-0.2685190439224243	0.08381974697113037	-1.791171908378601	-0.05343156307935715	-0.04858897253870964	-0.09060588479042053	0.16499367356300354	0.05114129185676575	0.12376778572797775	-0.09361514449119568	-0.027618149295449257	0.0457167774438858	0.22033096849918365	0.09775808453559875	-0.2281004786491394	0.15534742176532745	1.3247979879379272	0.0618109405040741	-0.4127648174762726	-0.01788882166147232	-0.02576763927936554	-0.05215442180633545	1.1550482511520386	-0.021148644387722015	-7.999513149261475	0.1367296278476715	0.03838127851486206	0.009554839693009853	-0.03208855167031288	-0.002105040941387415
1162	-0.11726342886686325	-0.6617862582206726	0.5081200003623962	1.6069390773773193	0.11717618256807327	0.3039412796497345	0.03055271878838539	0.2529013752937317	0.12658368051052094	-0.1998150646686554	0.10823774337768555	-1.0726698637008667	-0.16690322756767273	2.102224826812744	-0.15948419272899628	0.5109476447105408	0.07660114020109177	-0.27222129702568054	0.08329524844884872	-1.951171636581421	-0.053350359201431274	-0.04891642928123474	-0.1708041876554489	0.2929394245147705	0.12409405410289764	0.20391559600830078	-0.02898104302585125	-0.12036518007516861	-0.011686498299241066	0.261220246553421	0.14563408493995667	0.0200591329485178	0.16844946146011353	1.4001548290252686	0.02621430903673172	-0.26083138585090637	-0.01865842565894127	-0.10592521727085114	-0.05539460480213165	1.2955689430236816	-0.03163323923945427	-7.999863147735596	-0.0890025794506073	-0.009480874985456467	0.008400092832744122	-0.033882346004247665	-0.010014948435127735
