time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt r p y step
3.100000 -2.024430 -2.054920 4.448839 -0.052556 1.110472 1.140437 -4.676014 -2.992473 0.530125 0.555411 -2.797974 1.803689 2.188052 2.191913 -3.374867 0.717473 -0.349131 -0.358482 2.068957 -3.469715 -0.061859 -0.158502 1.850228 1.346615 -1.585675 -1.780092 34.726756 31.605649 -0.343414 -0.325975 0.349782 5.286474 0.802878 0.830420 -5.489996 0.340685 2.163706 2.189858 -5.167326 3.782704 0.803663 0.794564 0.659412 -3.271069 0.117916 0.152345 0.162177 0.221772 0.120763 0.193131 -15.355211 -5.520018 0.194663 0.207692 -7.635448 7.933330 -0.757525 -0.759905 0.727619 0.788163 1.293892 1.334314 2.929618 2.689241 -1.584994 -1.627669 -0.867102 -1.844073 0.445397 0.481393 0.874985 0.315506 -1.726375 -1.648364 0.613000 -1.060015 0.855430 0.584870 -0.808633 2.556087 -2.236094 -2.402421 1.340824 0.781291 0.101042 -0.056405 0.547897 -2.488681 1.027319 0.917995 -4.966964 -2.423312 1.096827 1.100363 0.042406 2.414577 1.013684 0.927264 -2.077970 155.000000
3.120000 -1.995687 -2.043185 7.618214 4.448839 1.090779 1.123865 -3.628969 -0.939020 0.498046 0.538437 -5.467044 3.736994 2.192931 2.205853 -4.382676 0.193647 -0.349655 -0.376102 2.320927 -3.181221 -0.054667 -0.151610 2.484627 1.850228 -1.558150 -1.748886 33.180954 34.726756 -0.357591 -0.354684 3.917390 2.570107 0.794492 0.825015 -4.867793 2.919889 2.169968 2.190850 -4.473825 2.107568 0.804649 0.790027 0.877503 -3.059758 0.104491 0.140225 0.120073 0.162177 0.123414 0.200136 -16.341885 -3.859881 0.205900 0.233989 -8.804038 11.495329 -0.724043 -0.759747 0.902676 0.727619 1.243923 1.302698 2.375634 1.898360 -1.599198 -1.614420 -0.914151 -1.031258 0.444649 0.469548 0.585393 0.130992 -1.732643 -1.670502 0.490412 -0.743992 0.849648 0.665441 -4.893585 -0.808633 -2.222104 -2.362574 -0.741334 0.396464 0.092909 -0.019975 -0.580063 -0.944360 1.011928 0.960196 -2.159132 -2.504685 1.093143 1.098895 0.007346 2.462279 0.957982 0.901037 -2.127488 156.000000
3.140000 -1.983345 -2.032820 8.430862 7.618214 1.057766 1.095182 -2.819621 0.919038 0.471307 0.517140 -5.827489 4.548007 2.191976 2.214134 -5.408727 0.515629 -0.350676 -0.391006 2.307063 -3.867047 -0.061284 -0.150568 2.795119 2.484627 -1.530009 -1.713043 31.092938 33.180954 -0.380892 -0.387567 6.287430 0.475202 0.772340 0.809922 -4.773615 4.392592 2.162590 2.192378 -6.073113 1.603355 0.794155 0.785791 0.608563 -2.870470 0.092101 0.127953 0.138556 0.120073 0.120091 0.208953 -19.000112 -3.768924 0.219783 0.249891 -7.980984 12.572961 -0.692612 -0.752104 0.800958 0.902676 1.208863 1.269232 2.618383 1.644893 -1.616639 -1.608203 -0.828986 -0.730741 0.444964 0.461136 0.514889 0.047490 -1.731511 -1.687360 0.419914 -0.537902 0.844134 0.743494 -7.178655 -4.893585 -2.208624 -2.318467 -2.341074 -0.080635 0.087973 0.009936 -0.870227 0.660699 1.006184 0.976568 -0.076358 -1.083239 1.090577 1.097084 0.020045 1.075893 0.907151 0.869223 -2.167941 157.000000
3.160000 -1.968165 -2.026455 10.700649 8.430862 1.007423 1.056079 -3.565485 1.503934 0.434478 0.488913 -6.436566 4.323555 2.200840 2.218137 -3.896324 1.038664 -0.362053 -0.404530 2.768280 -4.370064 -0.075048 -0.155567 3.088123 2.795119 -1.492895 -1.673359 30.020238 31.092938 -0.405891 -0.422208 8.275593 -0.756907 0.741385 0.784243 -4.305682 5.530523 2.164334 2.192672 -5.651701 2.597174 0.777993 0.780898 0.442739 -3.475939 0.081164 0.115639 0.166284 0.138556 0.120178 0.219129 -21.103400 -5.509564 0.238945 0.260107 -5.645832 13.490548 -0.678914 -0.739570 0.380799 0.800958 1.174386 1.232884 3.152835 1.723684 -1.623099 -1.607634 -0.434693 -0.894698 0.448262 0.455638 0.487701 0.047488 -1.723532 -1.698603 0.345335 -0.467402 0.862320 0.811998 -7.600552 -7.178655 -2.192077 -2.272998 -3.586616 -0.735424 0.085683 0.032913 -0.915830 1.605651 0.981517 0.977405 0.807469 -0.048201 1.089767 1.095267 0.035497 0.028156 0.860612 0.834627 -2.200645 158.000000
3.180000 -1.971860 -2.024978 10.522933 10.700649 0.949222 1.004623 -3.102565 1.435541 0.392286 0.451347 -5.922130 5.001026 2.202148 2.219383 -3.638578 -0.050536 -0.397898 -0.418520 2.083737 -3.946860 -0.091889 -0.164546 3.246538 3.088123 -1.457754 -1.629807 27.841016 30.020238 -0.443576 -0.456822 7.630749 -1.984956 0.710593 0.749318 -2.422258 6.290638 2.164413 2.192459 -5.552436 2.506193 0.768241 0.774269 0.503815 -3.145508 0.070550 0.103685 0.157672 0.166284 0.126550 0.229756 -21.852669 -7.728784 0.254045 0.267256 -3.654602 13.374616 -0.677246 -0.725495 -0.154989 0.380799 1.146283 1.193822 3.880788 1.793764 -1.619810 -1.609773 -0.008192 -1.359071 0.469571 0.454939 0.580084 0.071183 -1.715093 -1.704731 0.235009 -0.416518 0.913558 0.870548 -6.574175 -7.600552 -2.160810 -2.228050 -3.957821 -1.335393 0.092301 0.050915 -0.776582 2.251223 0.941029 0.967722 0.942928 0.385986 1.091466 1.093991 0.043669 -0.421483 0.816895 0.798477 -2.228226 159.000000
3.200000 -1.982544 -2.027598 9.095775 10.522933 0.884458 0.939261 -0.826725 1.409782 0.350128 0.405672 -4.211416 4.512347 2.193552 2.217943 -4.419615 0.314831 -0.433128 -0.436352 1.660534 -3.323747 -0.113289 -0.175850 2.825986 3.246538 -1.414609 -1.582940 26.648374 27.841016 -0.478388 -0.490306 6.944138 -2.604246 0.675358 0.708449 -0.572191 5.026504 2.162072 2.192063 -5.911945 2.412464 0.751753 0.765914 0.435728 -3.139972 0.059649 0.092263 0.119153 0.157672 0.134582 0.239162 -21.864318 -9.099034 0.263175 0.271878 -2.547621 12.753635 -0.680238 -0.712091 -0.597841 -0.154989 1.126964 1.154578 4.528306 1.944490 -1.607011 -1.611397 0.312507 -1.936298 0.488533 0.458170 0.703322 0.172538 -1.707687 -1.707017 0.133987 -0.407546 0.973654 0.922391 -5.503253 -6.574175 -2.124685 -2.184962 -3.904617 -1.590620 0.103184 0.066052 -0.625284 2.367201 0.895163 0.950067 0.905770 0.449629 1.092563 1.093379 0.025409 -0.493299 0.776049 0.761109 -2.251807 160.000000
3.220000 -2.006880 -2.033693 6.025487 9.095775 0.807495 0.861248 1.262235 1.692346 0.306400 0.353047 -1.601885 2.519071 2.191621 2.215094 -4.157014 1.010902 -0.483486 -0.454816 0.673107 -3.408713 -0.134163 -0.188025 2.546129 2.825986 -1.351682 -1.531661 28.201669 26.648374 -0.508176 -0.521110 6.631090 -3.185973 0.634381 0.662873 1.032561 3.758164 2.156035 2.191003 -6.763742 2.641377 0.736642 0.755768 0.447337 -3.270568 0.045414 0.080995 0.041088 0.119153 0.139098 0.247851 -22.723658 -9.658348 0.263029 0.274493 -2.829541 12.205970 -0.681050 -0.699809 -0.950652 -0.597841 1.103166 1.116932 4.803098 2.107899 -1.591969 -1.610541 0.455979 -2.420406 0.494029 0.462086 0.784648 0.284667 -1.696962 -1.706166 0.080622 -0.418654 1.030248 0.970247 -4.678384 -5.503253 -2.083487 -2.144621 -3.420679 -1.639667 0.119644 0.080128 -0.464393 2.264950 0.826336 0.923783 0.634951 0.440181 1.084492 1.092076 -0.030221 -0.465590 0.736475 0.723286 -2.272849 161.000000
3.240000 -2.038139 -2.041167 1.622817 6.025487 0.723017 0.769781 4.250678 1.432060 0.263804 0.296277 1.587152 0.169825 2.190535 2.211114 -3.805751 1.592524 -0.539322 -0.475576 0.124603 -2.564490 -0.153177 -0.197419 2.294021 2.546129 -1.282882 -1.474572 29.735728 28.201669 -0.540416 -0.548763 5.382592 -3.831826 0.587201 0.612514 2.161459 2.799264 2.133110 2.186858 -9.764189 3.058894 0.707721 0.743825 0.146806 -3.704848 0.030325 0.069279 0.008377 0.041088 0.139006 0.257086 -24.548476 -9.947059 0.257695 0.274337 -3.346343 12.776600 -0.681945 -0.688753 -1.233563 -0.950652 1.081882 1.081664 5.006056 2.173560 -1.584293 -1.607576 0.422125 -2.629539 0.493063 0.464536 0.854309 0.352013 -1.689535 -1.703105 0.005686 -0.432635 1.075325 1.014788 -4.185902 -4.678384 -2.042361 -2.107112 -2.897586 -1.478143 0.135438 0.093938 -0.353496 1.942536 0.748991 0.887227 0.577951 0.332586 1.068264 1.088162 -0.045103 -0.302365 0.696470 0.685174 -2.291419 162.000000
3.260000 -2.066308 -2.047348 -3.068162 1.622817 0.635577 0.670090 7.449001 1.331763 0.224854 0.243123 3.645758 -2.918915 2.191979 2.206440 -2.464798 1.812912 -0.587303 -0.496630 -0.483487 -1.992839 -0.173461 -0.202854 1.391157 2.294021 -1.220365 -1.413906 29.878944 29.735728 -0.559423 -0.571256 5.090167 -3.772025 0.536226 0.560013 2.555875 1.610566 2.094923 2.174602 -13.388284 4.776100 0.661101 0.729063 -0.441338 -4.988088 0.021861 0.057476 0.073757 0.008377 0.131816 0.264280 -26.860990 -10.601067 0.248521 0.272436 -4.686733 13.947409 -0.690243 -0.679440 -1.633345 -1.233563 1.069856 1.049993 5.113269 2.291966 -1.574383 -1.603360 0.478555 -2.714090 0.496929 0.466192 0.985645 0.424312 -1.683469 -1.698920 -0.037415 -0.429998 1.112375 1.056428 -3.978166 -4.185902 -2.006592 -2.071774 -2.573770 -1.272045 0.151077 0.107559 -0.239522 1.625541 0.666884 0.840126 0.728548 0.311527 1.049669 1.080872 0.002305 -0.266424 0.657018 0.648305 -2.308010 163.000000
3.280000 -2.093364 -2.053219 -7.219836 -3.068162 0.526845 0.562736 8.777314 1.901622 0.182298 0.193267 4.832073 -5.547379 2.195049 2.202313 -1.209444 1.581476 -0.623282 -0.520624 -0.717727 -0.883322 -0.195914 -0.205802 0.587640 1.391157 -1.157083 -1.348945 28.426361 29.878944 -0.564312 -0.587904 6.688880 -3.823021 0.485062 0.509155 2.031280 1.267146 2.059984 2.158433 -18.001008 7.012788 0.622029 0.718178 -2.524185 -6.375496 0.018949 0.046843 0.146886 0.073757 0.130130 0.269241 -28.129263 -11.087128 0.239110 0.267504 -4.843129 15.773862 -0.710182 -0.673100 -2.102866 -1.633345 1.067787 1.023493 5.223915 2.317357 -1.559197 -1.597843 0.653518 -2.795912 0.499661 0.467283 1.129419 0.511530 -1.676064 -1.693974 -0.050072 -0.474115 1.148550 1.095052 -3.633140 -3.978166 -1.949677 -2.036718 -1.929086 -1.167124 0.165300 0.120686 -0.104366 1.406646 0.576772 0.783080 0.852392 0.363122 1.030420 1.070508 0.067665 -0.365427 0.617892 0.613038 -2.322194 164.000000
3.300000 -2.108725 -2.059504 -8.987631 -7.219836 0.398002 0.443838 8.477650 1.972620 0.140511 0.146089 5.437415 -6.804693 2.185004 2.199014 -2.389017 1.122920 -0.650333 -0.545232 -0.736328 -0.086523 -0.222271 -0.210210 0.186825 0.587640 -1.100302 -1.278011 25.211474 28.426361 -0.549852 -0.599678 11.045484 -4.360080 0.437968 0.458102 3.286410 2.328800 2.018743 2.148287 -24.502614 10.822966 0.558211 0.716188 -4.635548 -7.178043 0.013590 0.037617 0.132776 0.146886 0.129935 0.272322 -28.242373 -11.643067 0.222024 0.257826 -5.904783 16.486196 -0.722357 -0.670556 -2.154948 -2.102866 1.075686 1.003741 5.224104 2.285199 -1.550301 -1.591085 0.579072 -2.938716 0.500810 0.467936 1.181685 0.589745 -1.660047 -1.687272 -0.024511 -0.539674 1.177013 1.130525 -3.384967 -3.633140 -1.878981 -1.998412 -1.255935 -0.912360 0.174812 0.132543 0.042724 1.016726 0.484458 0.717072 1.034958 0.392364 1.005083 1.056940 0.099096 -0.460028 0.577726 0.577312 -2.332058 165.000000
3.320000 -2.122749 -2.066187 -10.336952 -8.987631 0.256510 0.312726 8.305946 1.520117 0.110601 0.103304 7.503994 -6.957533 2.173192 2.196957 -4.644325 1.726137 -0.665128 -0.567064 -0.970383 -0.662880 -0.250875 -0.219872 0.214915 0.186825 -1.039605 -1.206213 23.097367 25.211474 -0.516982 -0.604709 17.496172 -7.165947 0.390211 0.403497 5.092221 3.879537 1.987597 2.137970 -28.534687 15.598173 0.488679 0.713884 -6.471696 -8.904441 0.003333 0.029108 0.051338 0.132776 0.130667 0.271037 -27.131593 -11.168795 0.194083 0.244766 -8.363122 17.073578 -0.735813 -0.670317 -2.480729 -2.154948 1.100436 0.992865 5.167534 2.322516 -1.548527 -1.584377 0.516622 -2.901588 0.501142 0.468226 1.187282 0.603098 -1.632883 -1.676865 -0.011883 -0.578587 1.195395 1.162137 -3.270472 -3.384967 -1.807808 -1.956723 -0.489443 -0.649330 0.179432 0.142261 0.195176 0.606606 0.398098 0.644444 1.294734 0.467931 0.979888 1.040325 0.167280 -0.567027 0.537776 0.544433 -2.339160 166.000000
3.340000 -2.131219 -2.072436 -10.891880 -10.336952 0.122866 0.174015 9.708423 0.400976 0.082970 0.062678 9.600370 -7.904970 2.174585 2.196942 -4.446450 3.022779 -0.677360 -0.590834 0.019533 -1.621546 -0.275906 -0.234276 0.240245 0.214915 -0.974492 -1.136274 22.494715 23.097367 -0.497333 -0.601826 19.595843 -11.294197 0.344409 0.348988 6.541440 6.201975 1.964777 2.126821 -30.746109 18.939908 0.456382 0.709196 -7.057512 -9.594779 -0.006364 0.020767 0.001554 0.051338 0.129717 0.263995 -25.080156 -9.384235 0.173337 0.228661 -8.922345 17.747358 -0.760259 -0.672189 -2.986121 -2.480729 1.132638 0.992146 4.984234 2.325456 -1.540881 -1.578691 0.730426 -2.842078 0.499494 0.468609 1.090229 0.599583 -1.596300 -1.661052 -0.048849 -0.587700 1.214273 1.189456 -2.914468 -3.270472 -1.744313 -1.912250 -0.146734 -0.342310 0.192389 0.151006 0.347136 0.147134 0.312031 0.567787 1.355341 0.563727 0.952588 1.021092 0.215073 -0.731007 0.498745 0.515713 -2.345264 167.000000
3.360000 -2.137434 -2.078783 -10.686437 -10.891880 0.003644 0.040277 11.480913 0.054027 0.055149 0.027424 10.400117 -9.654397 2.170771 2.196726 -5.620039 2.209122 -0.699276 -0.616277 -0.392146 -2.237327 -0.295091 -0.250547 0.338587 0.240245 -0.942683 -1.072780 17.476262 22.494715 -0.488802 -0.588102 17.025595 -13.068641 0.296944 0.299865 5.803257 6.527201 1.953648 2.113831 -30.212871 20.468578 0.448774 0.702256 -7.107318 -10.277530 -0.007341 0.013158 0.093988 0.001554 0.139024 0.250657 -19.534422 -8.078906 0.166569 0.214485 -8.001272 17.001250 -0.789997 -0.678128 -3.246832 -2.986121 1.159604 1.000707 4.411653 2.126904 -1.532852 -1.573631 0.896796 -2.857330 0.502228 0.470195 0.907563 0.569539 -1.549774 -1.638620 -0.113939 -0.520690 1.223646 1.210809 -2.357860 -2.914468 -1.686662 -1.864130 -0.332444 -0.246935 0.214205 0.161874 0.285275 -0.100201 0.243912 0.490890 1.446339 0.570134 0.919238 0.998921 0.237160 -0.785207 0.460161 0.493156 -2.354061 168.000000
