timestep	ref_qpos_left_hip_pitch_joint	ref_qpos_right_hip_pitch_joint	ref_qpos_waist_roll_joint	ref_qpos_left_hip_roll_joint	ref_qpos_right_hip_roll_joint	ref_qpos_waist_yaw_joint	ref_qpos_left_hip_yaw_joint	ref_qpos_right_hip_yaw_joint	ref_qpos_left_shoulder_pitch_joint	ref_qpos_right_shoulder_pitch_joint	ref_qpos_left_knee_joint	ref_qpos_right_knee_joint	ref_qpos_left_shoulder_roll_joint	ref_qpos_right_shoulder_roll_joint	ref_qpos_left_ankle_pitch_joint	ref_qpos_right_ankle_pitch_joint	ref_qpos_left_shoulder_yaw_joint	ref_qpos_right_shoulder_yaw_joint	ref_qpos_left_ankle_roll_joint	ref_qpos_right_ankle_roll_joint	ref_qpos_left_elbow_joint	ref_qpos_right_elbow_joint	ref_qpos_left_wrist_roll_joint	ref_qpos_right_wrist_roll_joint	ref_qvel_left_hip_pitch_joint	ref_qvel_right_hip_pitch_joint	ref_qvel_waist_roll_joint	ref_qvel_left_hip_roll_joint	ref_qvel_right_hip_roll_joint	ref_qvel_waist_yaw_joint	ref_qvel_left_hip_yaw_joint	ref_qvel_right_hip_yaw_joint	ref_qvel_left_shoulder_pitch_joint	ref_qvel_right_shoulder_pitch_joint	ref_qvel_left_knee_joint	ref_qvel_right_knee_joint	ref_qvel_left_shoulder_roll_joint	ref_qvel_right_shoulder_roll_joint	ref_qvel_left_ankle_pitch_joint	ref_qvel_right_ankle_pitch_joint	ref_qvel_left_shoulder_yaw_joint	ref_qvel_right_shoulder_yaw_joint	ref_qvel_left_ankle_roll_joint	ref_qvel_right_ankle_roll_joint	ref_qvel_left_elbow_joint	ref_qvel_right_elbow_joint	ref_qvel_left_wrist_roll_joint	ref_qvel_right_wrist_roll_joint	ref_root_vel_x	ref_root_vel_y	ref_root_vel_z
887	-0.6681540012359619	-0.3553850054740906	0.04055299982428551	0.28014299273490906	-0.37345901131629944	-0.005508999805897474	0.24662800133228302	-0.29314398765563965	0.5297560095787048	0.3530290126800537	0.9731000065803528	0.9035120010375977	1.6362709999084473	-0.12306799739599228	-0.06502799689769745	-0.6093710064888	0.5487350225448608	0.21108800172805786	-0.21839499473571777	0.0885619968175888	0.24127300083637238	0.16999700665473938	0.6949800252914429	-0.5894420146942139	-5.099457740783691	0.21860972046852112	0.0666043758392334	1.392897605895996	1.2848235368728638	0.30770763754844666	-3.3216230869293213	-1.6057655811309814	2.1802327632904053	0.7282301783561707	5.1638336181640625	0.06599724292755127	1.1139243841171265	-0.6203580498695374	4.725661277770996	-0.5225345492362976	-1.116660237312317	-0.02296045422554016	-0.9772881865501404	0.09942259639501572	-3.734362840652466	-0.8943088054656982	-5.876335620880127	0.5326360464096069	-0.2853184938430786	-0.21909363567829132	-0.00959932804107666
888	-0.7900969982147217	-0.34601661562919617	0.04331377148628235	0.3014070987701416	-0.34774142503738403	-0.0015163562493398786	0.16671812534332275	-0.3368314504623413	0.5812559723854065	0.36867737770080566	1.082205891609192	0.9026234149932861	1.6701934337615967	-0.14014023542404175	0.046386800706386566	-0.6219945549964905	0.5076168775558472	0.21241527795791626	-0.23706814646720886	0.09706811606884003	0.15472492575645447	0.1462673544883728	0.5501245260238647	-0.5801096558570862	-6.137691497802734	0.5233541131019592	0.1623072624206543	0.886350154876709	1.296527624130249	0.1559261828660965	-3.996269464492798	-2.324139356613159	2.5424554347991943	0.7503561973571777	5.3788886070251465	-0.016666948795318604	1.6230374574661255	-0.9388784170150757	5.059122562408447	-0.6704524159431458	-2.1201393604278564	0.19752681255340576	-0.7756192088127136	0.3808198571205139	-4.627644062042236	-1.2729194164276123	-6.863173961639404	0.3664866089820862	-0.2913258969783783	-0.2510916590690613	-0.048738718032836914
889	-0.9136616587638855	-0.3344508409500122	0.04704529047012329	0.3155969977378845	-0.3215979039669037	0.0007280473364517093	0.0867772325873375	-0.3861095607280731	0.6314542293548584	0.3830432593822479	1.1882555484771729	0.9028453230857849	1.7011924982070923	-0.16062313318252563	0.13733690977096558	-0.6361891031265259	0.4639294445514679	0.2189890742301941	-0.24941976368427277	0.10379479080438614	0.05616723746061325	0.11908023059368134	0.4204530715942383	-0.5747825503349304	-6.258952617645264	0.6880677938461304	0.23507727682590485	0.3559477627277374	1.3283960819244385	0.0248513612896204	-3.9983909130096436	-2.7431561946868896	2.4447381496429443	0.6541699171066284	5.149495601654053	0.06659477949142456	1.403781771659851	-1.1945292949676514	3.5246119499206543	-0.7881969213485718	-2.3126564025878906	0.5908526182174683	-0.3016505241394043	0.24739354848861694	-5.527777671813965	-1.5320632457733154	-5.724470138549805	0.06619095802307129	-0.2712726593017578	-0.26243364810943604	-0.11869668960571289
890	-1.0404551029205322	-0.31849390268325806	0.05271686241030693	0.3156450092792511	-0.2946055829524994	-0.0005223017651587725	0.006782490760087967	-0.4465577006340027	0.6790454983711243	0.3948441743850708	1.288185715675354	0.9052872061729431	1.7263447046279907	-0.187921404838562	0.18737126886844635	-0.6535224318504333	0.41511061787605286	0.23604938387870789	-0.24913416802883148	0.1069638580083847	-0.06638617813587189	0.08498482406139374	0.3211457133293152	-0.5774620175361633	-6.0078816413879395	0.7950067520141602	0.27812179923057556	-0.022745132446289062	1.321458101272583	-0.06363087147474289	-3.662588357925415	-2.9321320056915283	2.0953238010406494	0.4546068608760834	4.999122142791748	0.22692233324050903	0.7857352495193481	-1.4545828104019165	1.1958062648773193	-0.8390337228775024	-2.3287713527679443	1.2270383834838867	0.21773390471935272	0.10081920772790909	-6.543190956115723	-1.6854028701782227	-2.2818074226379395	-0.34428685903549194	-0.23817867040634155	-0.26941224932670593	-0.1750558614730835
891	-1.1539769172668457	-0.3026505708694458	0.05817016214132309	0.31468719244003296	-0.26873958110809326	-0.001817187643609941	-0.05972631275653839	-0.5033948421478271	0.7152671813964844	0.40122753381729126	1.3882204294204712	0.9119222164154053	1.7326219081878662	-0.2188064455986023	0.18516916036605835	-0.669750452041626	0.3707785904407501	0.26807060837745667	-0.24071040749549866	0.1078275591135025	-0.20556040108203888	0.051664113998413086	0.3291807770729065	-0.5885540246963501	-5.509769916534424	0.7906734943389893	0.2698957026004791	-0.060357898473739624	1.279120922088623	-0.06528205424547195	-3.1565535068511963	-2.7964651584625244	1.6688332557678223	0.2514056861400604	5.002626895904541	0.38408786058425903	0.07800161838531494	-1.5889339447021484	-0.7627915740013123	-0.797504186630249	-2.160400152206421	1.7879366874694824	0.522940993309021	0.014363788068294525	-7.165597438812256	-1.6561962366104126	1.7429739236831665	-0.6596595048904419	-0.20858123898506165	-0.2685271203517914	-0.18962770700454712
892	-1.2608458995819092	-0.2868669629096985	0.06351269036531448	0.3132306933403015	-0.24344074726104736	-0.0031335840467363596	-0.11947965621948242	-0.5584163069725037	0.7457988262176514	0.4049004018306732	1.488290786743164	0.9206507205963135	1.7294647693634033	-0.25147876143455505	0.1568596065044403	-0.6854225993156433	0.328694611787796	0.3075668513774872	-0.2282165288925171	0.10753840953111649	-0.3530100882053375	0.01873696967959404	0.39086467027664185	-0.603848397731781	-4.605385780334473	0.6476290225982666	0.05568619817495346	0.8668802976608276	1.1841185092926025	0.06934092938899994	-1.6551669836044312	-2.184903621673584	0.9661436080932617	-0.3037571907043457	4.6593756675720215	0.15589147806167603	-0.14247894287109375	-1.500375509262085	-1.784604787826538	-0.5405664443969727	-2.381960391998291	2.67482328414917	1.6564570665359497	-0.1513127237558365	-4.935616493225098	-1.3219683170318604	3.914400100708008	-0.7097944617271423	-0.17430484294891357	-0.2621293067932129	-0.1443922519683838
893	-1.338192343711853	-0.27674540877342224	0.06039761006832123	0.34936240315437317	-0.22137483954429626	0.0009564495412632823	-0.1259329915046692	-0.5907909870147705	0.7539129257202148	0.38907724618911743	1.5745954513549805	0.9181578755378723	1.7269227504730225	-0.2788214683532715	0.11378496885299683	-0.6913731098175049	0.27550017833709717	0.37506353855133057	-0.17445212602615356	0.10177505016326904	-0.4029850661754608	-0.0012146183289587498	0.4857567846775055	-0.6169458031654358	-3.564009189605713	0.4965834319591522	-0.26645568013191223	1.7267212867736816	1.0978947877883911	0.28832679986953735	-0.14984123408794403	-1.5061213970184326	-0.025762617588043213	-0.9868942499160767	4.023784637451172	-0.3064751625061035	-0.17598867416381836	-1.3298124074935913	-2.1007139682769775	-0.1900121569633484	-2.7802646160125732	3.5888612270355225	2.664999008178711	-0.292128324508667	-2.082247257232666	-1.0838847160339355	4.733345031738281	-0.9513333439826965	-0.13809874653816223	-0.2557195723056793	-0.07122009992599487
894	-1.4034062623977661	-0.2670036256313324	0.05285446345806122	0.382299542427063	-0.19952495396137238	0.008399488404393196	-0.12547330558300018	-0.6186611652374268	0.7447683215141296	0.36542463302612305	1.6492421627044678	0.9083917140960693	1.7224252223968506	-0.3046712577342987	0.07283104956150055	-0.6930230855941772	0.2174840271472931	0.4511213004589081	-0.12161656469106674	0.0958532765507698	-0.43629997968673706	-0.024618417024612427	0.5801984667778015	-0.6419017314910889	-2.654266357421875	0.4681237041950226	-0.5985686779022217	1.4872193336486816	1.0817497968673706	0.5398125648498535	0.36861878633499146	-1.1683688163757324	-1.3201415538787842	-1.574146032333374	3.1496644020080566	-0.8519753813743591	-0.322645902633667	-1.217914342880249	-1.9417688846588135	0.13252198696136475	-3.1420271396636963	4.23111629486084	2.5954718589782715	-0.3040239214897156	-0.8328735828399658	-1.342851161956787	4.699804782867432	-1.8407583236694336	-0.10268837213516235	-0.2547726035118103	-0.0019356608390808105
895	-1.444362998008728	-0.25802046060562134	0.03645486384630203	0.40885117650032043	-0.17810484766960144	0.02254895307123661	-0.11118824034929276	-0.637525737285614	0.7011072635650635	0.32611140608787537	1.7005820274353027	0.884078860282898	1.7140169143676758	-0.32753804326057434	0.03611421585083008	-0.6860722303390503	0.14981909096240997	0.5443081855773926	-0.07063325494527817	0.08961409330368042	-0.43630000948905945	-0.05492866784334183	0.6737489700317383	-0.6905761361122131	-1.4812231063842773	0.5466185808181763	-1.070873498916626	0.6242707371711731	1.0458101034164429	0.6195844411849976	0.9490236639976501	-1.0480910539627075	-5.640611171722412	-2.1912992000579834	1.8069863319396973	-1.6189515590667725	-3.644552707672119	-0.6416522264480591	-1.6768779754638672	0.5740001797676086	-6.122891426086426	5.022312164306641	2.0986695289611816	-0.26455894112586975	0.0	-1.428053855895996	5.952908039093018	-2.7189106941223145	-0.054238736629486084	-0.25701597332954407	0.08392035961151123
896	-1.4626551866531372	-0.24513888359069824	0.010019521228969097	0.4072703719139099	-0.157692551612854	0.033182866871356964	-0.08751235902309418	-0.6605848073959351	0.5191438794136047	0.2777726650238037	1.7215216159820557	0.8436336517333984	1.5766431093215942	-0.3303373456001282	0.00575592927634716	-0.6700630784034729	-0.027431637048721313	0.6520137786865234	-0.03766978904604912	0.08527091890573502	-0.43629997968673706	-0.08174057304859161	0.818314790725708	-0.7506581544876099	-0.6313532590866089	0.6927639245986938	-1.4470466375350952	-0.43059736490249634	1.0079708099365234	0.4877566695213318	1.3010600805282593	-1.2053236961364746	-10.825478553771973	-2.5296263694763184	0.6670117378234863	-2.2237448692321777	-8.479872703552246	0.11071339249610901	-1.4383535385131836	0.9136125445365906	-10.231237411499023	5.56629753112793	1.4229211807250977	-0.19344446063041687	4.76837158203125e-05	-1.2967135906219482	7.865370750427246	-3.1463890075683594	-0.016973912715911865	-0.2613082528114319	0.14341026544570923
897	-1.4696171283721924	-0.23030990362167358	-0.021427001804113388	0.3916272819042206	-0.13778601586818695	0.042059220373630524	-0.059145838022232056	-0.6857386827468872	0.26808813214302063	0.22492635250091553	1.7272624969482422	0.7951290607452393	1.3748220205307007	-0.32310950756073	-0.02141992375254631	-0.6495277285575867	-0.2594304084777832	0.766960084438324	-0.013716408982872963	0.08187631517648697	-0.43629810214042664	-0.10679721087217331	0.9883638024330139	-0.8164317011833191	0.3218799829483032	0.8870184421539307	-1.2784130573272705	-1.798874855041504	0.9871088266372681	0.522361695766449	1.4868063926696777	-1.5276700258255005	-12.14015007019043	-3.2019312381744385	-0.9686529636383057	-2.920161247253418	-13.634988784790039	0.055721402168273926	-0.9065471887588501	1.3213708400726318	-12.535834312438965	4.865426063537598	0.7441036105155945	-0.00788811594247818	0.4685230553150177	-0.18664896488189697	9.608495712280273	-2.552086114883423	0.03357157111167908	-0.2681441605091095	0.19307732582092285
898	-1.449779987335205	-0.20965814590454102	-0.041117001324892044	0.33531537652015686	-0.11820819973945618	0.05407733470201492	-0.028040101751685143	-0.7216916084289551	0.033537887036800385	0.14969541132450104	1.6827754974365234	0.7268272042274475	1.0312435626983643	-0.3281084895133972	-0.0305059552192688	-0.6172082424163818	-0.5288650393486023	0.8466308116912842	-0.007905645295977592	0.08495539426803589	-0.41755905747413635	-0.08920653164386749	1.2026546001434326	-0.8527415990829468	1.1514604091644287	1.0567747354507446	-1.0246797800064087	-2.9033310413360596	1.012547492980957	0.7152680158615112	1.5021413564682007	-1.863810420036316	-10.302807807922363	-3.7176873683929443	-2.598020553588867	-3.5320534706115723	-16.197389602661133	-0.26091188192367554	-0.3234267234802246	1.727212905883789	-12.065095901489258	3.767167091369629	0.12992414832115173	0.18985457718372345	2.475517988204956	0.9660905003547668	9.710012435913086	-1.7500847578048706	0.08056908845901489	-0.2757132053375244	0.22254586219787598
899	-1.4235587120056152	-0.1880389153957367	-0.06241419166326523	0.2754940390586853	-0.09728411585092545	0.07066994160413742	0.0009398176334798336	-0.7602910995483398	-0.14402416348457336	0.0762188583612442	1.623341679573059	0.6538469195365906	0.7269264459609985	-0.333545982837677	-0.034356992691755295	-0.5804392099380493	-0.7420342564582825	0.9176467657089233	-0.00851944275200367	0.08947049826383591	-0.3372773826122284	-0.06815358996391296	1.3767642974853516	-0.8864350914955139	1.6299188137054443	1.129146695137024	-1.1450198888778687	-3.1660006046295166	1.113327980041504	1.05812406539917	1.342532753944397	-2.0619540214538574	-6.028641700744629	-3.585587501525879	-3.718235969543457	-3.882272481918335	-13.251373291015625	-0.29374584555625916	0.06910734623670578	2.060544490814209	-7.844854831695557	3.117708921432495	-0.3517662286758423	0.29749011993408203	7.0891947746276855	1.225520133972168	6.696006774902344	-1.5536516904830933	0.1071639358997345	-0.2821333706378937	0.22139102220535278
900	-1.3845832347869873	-0.16449227929115295	-0.08691779524087906	0.208675354719162	-0.07367508113384247	0.09640229493379593	0.02566121146082878	-0.804169774055481	-0.20760777592658997	0.006271909922361374	1.5340460538864136	0.5715363025665283	0.5011886358261108	-0.3398583233356476	-0.02774166129529476	-0.5347864627838135	-0.8426592350006104	0.9713391661643982	-0.021976293995976448	0.09685499966144562	-0.13399125635623932	-0.040185727179050446	1.4704948663711548	-0.9148876667022705	2.2010445594787598	1.0408934354782104	-1.25007164478302	-3.0371055603027344	1.1931626796722412	1.2511353492736816	1.218658685684204	-1.9829392433166504	-2.0795035362243652	-3.6675379276275635	-5.022880554199219	-4.007575035095215	-9.868535041809082	-0.7030710577964783	0.6775877475738525	2.325639247894287	-3.632991075515747	2.9044957160949707	-0.6711124777793884	0.4292888641357422	9.309893608093262	1.7247130870819092	3.3419132232666016	-1.0567188262939453	0.1410558819770813	-0.2915389835834503	0.19662976264953613
901	-1.3355169296264648	-0.14640317857265472	-0.1124170571565628	0.15400981903076172	-0.049557607620954514	0.12071535736322403	0.049686163663864136	-0.8396086692810059	-0.2272043079137802	-0.07048266381025314	1.422426462173462	0.49354392290115356	0.3321850597858429	-0.36166882514953613	-0.00725348386913538	-0.4874136447906494	-0.8873538970947266	1.0338265895843506	-0.03536394238471985	0.10664205253124237	0.03511838614940643	0.000834934413433075	1.5104408264160156	-0.9287038445472717	2.5794057846069336	0.8362568616867065	-1.287405014038086	-2.581408739089966	1.2122269868850708	1.1979175806045532	1.19254469871521	-1.666480302810669	-0.43015554547309875	-3.922797679901123	-5.859950065612793	-3.8456573486328125	-7.741215705871582	-1.2841917276382446	1.1977665424346924	2.390136480331421	-1.5358195304870605	3.234271764755249	-0.6685176491737366	0.5193749666213989	8.028406143188477	2.2141430377960205	1.3252019882202148	-0.5079090595245361	0.16530901193618774	-0.2992488443851471	0.16066133975982666
