timestep	E_g_vel	E_r_pos	E_r_ori	E_root_vel	E_joint_pos_mean
24	0.4384983777999878	0.09479115158319473	0.38931384682655334	0.24865102767944336	1.857453465461731
25	0.40531644225120544	0.09612735360860825	0.3956844210624695	0.37022125720977783	1.8706954717636108
26	0.5144942402839661	0.09746553748846054	0.4092068374156952	0.41408592462539673	1.8644540309906006
27	0.4980699121952057	0.09778980910778046	0.4079585671424866	0.23324085772037506	1.849139928817749
28	0.438355416059494	0.09759161621332169	0.4000541567802429	0.10770340263843536	1.8402342796325684
29	0.4148792028427124	0.09651291370391846	0.38800740242004395	0.1623935103416443	1.8082550764083862
30	0.4234859347343445	0.09439679235219955	0.3715001940727234	0.22954663634300232	1.7588233947753906
31	0.48301205039024353	0.09238187223672867	0.3529020845890045	0.23227043449878693	1.713575839996338
32	0.4643716812133789	0.09032569080591202	0.33891600370407104	0.1912664771080017	1.7082774639129639
33	0.227896049618721	0.08901466429233551	0.3307153880596161	0.1773175746202469	1.7190110683441162
34	0.2360285073518753	0.08798873424530029	0.3245490789413452	0.1500457525253296	1.7284815311431885
35	0.14639952778816223	0.08694368600845337	0.31774967908859253	0.09835081547498703	1.716047763824463
36	0.11888645589351654	0.08749859780073166	0.3144276440143585	0.12151091545820236	1.7003958225250244
37	0.1239660456776619	0.08859527856111526	0.3156052231788635	0.18448027968406677	1.676144003868103
38	0.15262781083583832	0.08907768875360489	0.3215421438217163	0.22062529623508453	1.6531141996383667
39	0.16204774379730225	0.08972018957138062	0.3254811763763428	0.22034931182861328	1.636775016784668
40	0.19374950230121613	0.09078658372163773	0.3236928880214691	0.24028295278549194	1.6309627294540405
41	0.21188563108444214	0.09106425195932388	0.3201083242893219	0.2823014557361603	1.61899995803833
42	0.20506379008293152	0.09047148376703262	0.31238409876823425	0.21258775889873505	1.613939881324768
43	0.22065699100494385	0.08983811736106873	0.2997678816318512	0.15125572681427002	1.6104618310928345
44	0.22191815078258514	0.08913351595401764	0.2894647419452667	0.13952401280403137	1.6135352849960327
45	0.192848339676857	0.08898962289094925	0.2808535695075989	0.148490309715271	1.6350858211517334
46	0.16249819099903107	0.08924054354429245	0.2762746214866638	0.11868443340063095	1.65497887134552
47	0.10807091742753983	0.0895855650305748	0.27501922845840454	0.09205567836761475	1.6720536947250366
48	0.11499782651662827	0.08945249021053314	0.2749794125556946	0.0677795261144638	1.690217137336731
49	0.14885678887367249	0.08904947340488434	0.2760518491268158	0.10358623415231705	1.7013541460037231
50	0.1739019900560379	0.08810374140739441	0.27781400084495544	0.12396268546581268	1.718536615371704
51	0.20347122848033905	0.08702939748764038	0.2791459858417511	0.13242971897125244	1.747759222984314
52	0.23331521451473236	0.08616284281015396	0.2804313004016876	0.14720924198627472	1.7796440124511719
53	0.24445408582687378	0.08535640686750412	0.2817268371582031	0.17376147210597992	1.8193778991699219
54	0.22365865111351013	0.0848219022154808	0.2822208106517792	0.20038504898548126	1.8624485731124878
55	0.23385855555534363	0.08484522253274918	0.2832936942577362	0.1793280839920044	1.8934253454208374
56	0.2335185408592224	0.08455891162157059	0.28655877709388733	0.17995744943618774	1.9195215702056885
57	0.22630037367343903	0.08400160074234009	0.2894735336303711	0.17435352504253387	1.9443145990371704
58	0.1955304890871048	0.0830877274274826	0.29156845808029175	0.1521379053592682	1.9702446460723877
59	0.1855636090040207	0.08215677738189697	0.2921675443649292	0.1431242823600769	1.9768420457839966
60	0.17236630618572235	0.08166921138763428	0.2935175895690918	0.15781916677951813	1.9819856882095337
61	0.16039158403873444	0.08181284368038177	0.2966545522212982	0.1781884878873825	1.9894490242004395
62	0.15891936421394348	0.0819927528500557	0.3012276291847229	0.18764770030975342	1.992645025253296
63	0.17711178958415985	0.0819549635052681	0.30182045698165894	0.1471802294254303	1.9768834114074707
64	0.168207585811615	0.08127211779356003	0.2985951900482178	0.0613999180495739	1.9496362209320068
65	0.19123141467571259	0.0798729881644249	0.293476939201355	0.0805961936712265	1.9384493827819824
66	0.1993880569934845	0.07840266823768616	0.2889160215854645	0.11130212992429733	1.9271855354309082
67	0.2069600373506546	0.07706910371780396	0.2845804989337921	0.10160989314317703	1.909155249595642
68	0.1871538609266281	0.07630288600921631	0.28223076462745667	0.09911386668682098	1.8643513917922974
69	0.19095104932785034	0.0753849446773529	0.277013897895813	0.05368329957127571	1.8464624881744385
70	0.17569394409656525	0.07453695684671402	0.2735282778739929	0.09839960932731628	1.8394917249679565
71	0.18517936766147614	0.07406729459762573	0.2739272117614746	0.17158862948417664	1.849905252456665
72	0.21733272075653076	0.07399632036685944	0.2724379301071167	0.19091825187206268	1.850264549255371
73	0.2434006631374359	0.07428743690252304	0.272665798664093	0.18520617485046387	1.8398252725601196
74	0.19428007304668427	0.07519584894180298	0.276266872882843	0.23792335391044617	1.8017417192459106
75	0.21098263561725616	0.07605669647455215	0.2756045460700989	0.28816646337509155	1.7564653158187866
76	0.21502685546875	0.07690829038619995	0.2726905345916748	0.32003527879714966	1.7150686979293823
77	0.21896852552890778	0.07792099565267563	0.27236881852149963	0.2628374695777893	1.6834875345230103
78	0.21346262097358704	0.07880846410989761	0.271278440952301	0.169552743434906	1.6649374961853027
79	0.19649328291416168	0.07942596822977066	0.26981624960899353	0.14508095383644104	1.6539762020111084
80	0.18736469745635986	0.07983274757862091	0.2694161534309387	0.11412326991558075	1.634962797164917
81	0.1815534383058548	0.08031072467565536	0.26958391070365906	0.14428727328777313	1.6085327863693237
82	0.17466410994529724	0.08032514899969101	0.26920396089553833	0.18294064700603485	1.5858012437820435
83	0.19341914355754852	0.08026786893606186	0.26864099502563477	0.25786638259887695	1.5807533264160156
84	0.21283721923828125	0.08064418286085129	0.2670396566390991	0.19736430048942566	1.5766119956970215
85	0.22850418090820312	0.08011677861213684	0.2641947567462921	0.15619197487831116	1.5598149299621582
