time cmd_vx cmd_vy cmd_yaw roll pitch yaw joint_pos_0 joint_pos_1 joint_pos_2 joint_pos_3 joint_pos_4 joint_pos_5 joint_pos_6 joint_pos_7 joint_pos_8 joint_pos_9 joint_tau_0 joint_tau_1 joint_tau_2 joint_tau_3 joint_tau_4 joint_tau_5 joint_tau_6 joint_tau_7 joint_tau_8 joint_tau_9 leg_target_q_0 leg_target_q_1 leg_target_q_2 leg_target_q_3 leg_target_q_4 leg_target_q_5 leg_target_q_6 leg_target_q_7 leg_target_q_8 leg_target_q_9 arm_pos_0 arm_pos_1 arm_pos_2 arm_pos_3 arm_pos_4 arm_pos_5 arm_pos_6 arm_pos_7 arm_pos_8 arm_pos_9
0.310000 0.000000 0.000000 0.000000 -0.004730 0.034721 -0.048675 0.000199 0.007088 0.134199 -0.347319 0.228600 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.190000 -0.050000 -0.410000 -2.650000 -6.350000 -0.160000 0.300000 -0.220000 -1.770000 -4.920000 -0.012415 0.030488 0.136454 -0.318384 -0.027523 -0.017958 0.030454 0.137180 -0.330825 -0.041728 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.320000 0.000000 0.000000 0.000000 -0.004730 0.034721 -0.048675 0.000199 0.007088 0.134199 -0.347319 0.228600 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 -0.050000 -0.370000 -2.600000 -6.350000 0.090000 0.300000 -0.380000 -1.730000 -4.880000 -0.012488 0.030531 0.136607 -0.318281 -0.027390 -0.017865 0.030505 0.137243 -0.330696 -0.041449 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.330000 0.000000 0.000000 0.000000 -0.004755 0.034854 -0.048738 0.000199 0.007088 0.134199 -0.347319 0.228600 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.000000 0.130000 -0.570000 -2.660000 -6.270000 -0.090000 0.280000 -0.380000 -1.720000 -4.980000 -0.012585 0.030605 0.136784 -0.318245 -0.027162 -0.017781 0.030443 0.137237 -0.330573 -0.041402 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.340000 0.000000 0.000000 0.000000 -0.004755 0.034854 -0.048738 0.000199 0.007088 0.134199 -0.347327 0.228611 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 -0.010000 -0.330000 -2.600000 -6.460000 -0.010000 0.300000 -0.260000 -1.740000 -4.790000 -0.012626 0.030616 0.136897 -0.318214 -0.026796 -0.017710 0.030445 0.137204 -0.330463 -0.041291 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.350000 0.000000 0.000000 0.000000 -0.004696 0.034954 -0.048780 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.070000 0.020000 -0.290000 -2.510000 -6.370000 -0.060000 0.260000 -0.300000 -1.730000 -5.050000 -0.012411 0.030537 0.136718 -0.318255 -0.026357 -0.017941 0.030456 0.137572 -0.330178 -0.040810 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.360000 0.000000 0.000000 0.000000 -0.004696 0.034954 -0.048780 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.090000 -0.080000 -0.370000 -2.560000 -6.400000 -0.060000 0.330000 -0.390000 -1.730000 -4.790000 -0.012197 0.030496 0.136569 -0.318234 -0.025911 -0.018156 0.030500 0.137798 -0.330001 -0.040500 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.370000 0.000000 0.000000 0.000000 -0.004709 0.034956 -0.048712 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.110000 0.020000 -0.210000 -2.660000 -6.110000 -0.050000 0.400000 -0.430000 -1.680000 -4.820000 -0.011921 0.030546 0.136393 -0.318231 -0.025080 -0.018435 0.030458 0.138079 -0.329706 -0.040102 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.380000 0.000000 0.000000 0.000000 -0.004709 0.034956 -0.048712 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.030000 -0.010000 -0.370000 -2.640000 -6.370000 -0.050000 0.090000 -0.390000 -1.780000 -4.850000 -0.011662 0.030594 0.136283 -0.318209 -0.024329 -0.018671 0.030436 0.138236 -0.329527 -0.039974 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.390000 0.000000 0.000000 0.000000 -0.004665 0.035051 -0.048587 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.150000 0.020000 -0.170000 -2.560000 -6.410000 -0.090000 0.420000 -0.420000 -1.570000 -4.760000 -0.011528 0.030583 0.136409 -0.317988 -0.023288 -0.018816 0.030526 0.138519 -0.329282 -0.039326 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.400000 0.000000 0.000000 0.000000 -0.004665 0.035051 -0.048587 0.000199 0.007088 0.134199 -0.347336 0.228623 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.000000 -0.090000 -0.530000 -2.680000 -6.430000 0.020000 0.230000 -0.340000 -1.640000 -4.810000 -0.011485 0.030506 0.136527 -0.317851 -0.022743 -0.018831 0.030684 0.138648 -0.329065 -0.038733 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
