time	root_x	root_y	root_z
4.700000	1.913973	0.091838	0.877113
4.720000	1.927760	0.082584	0.879448
4.740000	1.941981	0.074073	0.881320
4.760000	1.956653	0.066130	0.882590
4.780000	1.971896	0.058180	0.883365
4.800000	1.987916	0.049657	0.883892
4.820000	2.004667	0.040267	0.884293
4.840000	2.021755	0.030195	0.884237
4.860000	2.038754	0.019822	0.883273
4.880000	2.055597	0.009438	0.881185
4.900000	2.072348	-0.000959	0.877921
4.920000	2.089205	-0.011778	0.873530
4.940000	2.106710	-0.023868	0.868250
4.960000	2.125377	-0.038071	0.862272
4.980000	2.145278	-0.054695	0.855382
5.000000	2.165947	-0.073434	0.847100
5.020000	2.186059	-0.091777	0.839169
5.040000	2.204930	-0.109536	0.834329
5.060000	2.222480	-0.128520	0.832611
5.080000	2.239077	-0.148783	0.833592
5.100000	2.255496	-0.169408	0.836558
5.120000	2.271993	-0.188742	0.841547
5.140000	2.288650	-0.206864	0.847160
5.160000	2.305461	-0.224369	0.852694
5.180000	2.322397	-0.241386	0.857377
5.200000	2.338957	-0.257309	0.860958
5.220000	2.353470	-0.271494	0.863473
5.240000	2.365382	-0.284542	0.865657
5.260000	2.375010	-0.298012	0.868163
5.280000	2.382957	-0.312803	0.871153
5.300000	2.389810	-0.328433	0.874275
5.320000	2.396145	-0.343939	0.877039
5.340000	2.402242	-0.358734	0.879063
5.360000	2.408164	-0.372890	0.880330
5.380000	2.413891	-0.386798	0.881065
5.400000	2.419600	-0.400872	0.881345
5.420000	2.425691	-0.415343	0.880997
5.440000	2.432517	-0.430504	0.879872
5.460000	2.440022	-0.446581	0.877808
5.480000	2.447755	-0.463462	0.874746
5.500000	2.455263	-0.480913	0.870920
5.520000	2.462265	-0.499029	0.866819
5.540000	2.468672	-0.518330	0.862761
5.560000	2.474714	-0.539381	0.858616
5.580000	2.480798	-0.562255	0.853914
5.600000	2.487381	-0.586622	0.848251
5.620000	2.495002	-0.612233	0.841795
5.640000	2.503786	-0.639309	0.834889
5.660000	2.511294	-0.665420	0.830304
5.680000	2.518432	-0.691802	0.828456
5.700000	2.526241	-0.718942	0.828795
5.720000	2.534455	-0.746582	0.830740
5.740000	2.541835	-0.774146	0.834446
5.760000	2.547377	-0.801159	0.840360
5.780000	2.551553	-0.827562	0.846372
5.800000	2.554629	-0.852734	0.851596
5.820000	2.556967	-0.875642	0.855398
5.840000	2.558970	-0.896333	0.858908
5.860000	2.561234	-0.915628	0.862863
5.880000	2.564517	-0.934268	0.867086
5.900000	2.569408	-0.952748	0.871208
5.920000	2.576035	-0.971199	0.874957
5.940000	2.584012	-0.989600	0.878122
5.960000	2.592943	-1.008149	0.880698
5.980000	2.602624	-1.026920	0.882791
6.000000	2.612738	-1.045915	0.884306
6.020000	2.622943	-1.065135	0.885054
6.040000	2.632932	-1.084547	0.884860
6.060000	2.642403	-1.104192	0.883508
6.080000	2.651279	-1.124055	0.880905
6.100000	2.659736	-1.143915	0.877147
6.120000	2.668086	-1.163699	0.872515
6.140000	2.676809	-1.183560	0.867348
6.160000	2.686568	-1.204037	0.862101
6.180000	2.697752	-1.225516	0.856894
6.200000	2.710110	-1.247958	0.851680
6.220000	2.723299	-1.271647	0.846747
6.240000	2.737296	-1.296978	0.842230
6.260000	2.752106	-1.324114	0.838142
6.280000	2.767528	-1.351950	0.835045
6.300000	2.783129	-1.378683	0.834212
6.320000	2.798597	-1.405306	0.834619
6.340000	2.813800	-1.431583	0.835703
6.360000	2.829085	-1.456732	0.837363
6.380000	2.844703	-1.478689	0.842071
6.400000	2.859704	-1.499181	0.847389
6.420000	2.873073	-1.517625	0.852543
6.440000	2.884566	-1.534323	0.857559
6.460000	2.894654	-1.551040	0.862595
6.480000	2.903577	-1.569179	0.867593
6.500000	2.911308	-1.588686	0.872224
6.520000	2.917844	-1.608782	0.876267
6.540000	2.923420	-1.628759	0.879642
6.560000	2.928412	-1.648403	0.882383
6.580000	2.933138	-1.667837	0.884640
6.600000	2.937916	-1.687130	0.886416
6.620000	2.943172	-1.706242	0.887489
6.640000	2.949174	-1.725153	0.887573
6.660000	2.956051	-1.743961	0.886517
6.680000	2.963688	-1.762661	0.884324
6.700000	2.971631	-1.781196	0.881238
6.720000	2.979398	-1.799855	0.877623
6.740000	2.986915	-1.819311	0.873892
6.760000	2.994424	-1.840319	0.870149
6.780000	3.002310	-1.863344	0.866141
6.800000	3.010934	-1.888231	0.861423
6.820000	3.020624	-1.914233	0.855698
6.840000	3.031640	-1.940848	0.849185
6.860000	3.043730	-1.968048	0.842110
6.880000	3.054197	-1.993745	0.837429
6.900000	3.064734	-2.019305	0.835293
6.920000	3.076238	-2.045086	0.835209
6.940000	3.087501	-2.070972	0.837063
6.960000	3.096324	-2.096397	0.841832
6.980000	3.103497	-2.121592	0.847435
7.000000	3.109295	-2.145582	0.852507
7.020000	3.113929	-2.166882	0.856293
7.040000	3.117757	-2.185243	0.859570
7.060000	3.121950	-2.201707	0.862932
7.080000	3.127780	-2.217518	0.866579
7.100000	3.135776	-2.233260	0.870397
7.120000	3.145660	-2.248870	0.874079
7.140000	3.156808	-2.264176	0.877315
7.160000	3.168712	-2.279267	0.879937
7.180000	3.181187	-2.294389	0.882008
7.200000	3.193946	-2.309780	0.883393
7.220000	3.206583	-2.325578	0.883878
7.240000	3.218950	-2.341775	0.883355
7.260000	3.230987	-2.358277	0.881740
7.280000	3.242876	-2.374995	0.879022
7.300000	3.254862	-2.391851	0.875025
7.320000	3.267202	-2.408826	0.870016
7.340000	3.280131	-2.425792	0.864539
7.360000	3.293717	-2.442731	0.859021
7.380000	3.307939	-2.460028	0.853814
7.400000	3.322939	-2.478188	0.849010
7.420000	3.338947	-2.497481	0.844506
7.440000	3.356141	-2.517802	0.840102
7.460000	3.374357	-2.538284	0.835845
7.480000	3.392450	-2.556111	0.833944
7.500000	3.410971	-2.572809	0.834033
7.520000	3.429972	-2.588990	0.835890
7.540000	3.449365	-2.603731	0.840311
7.560000	3.469124	-2.617788	0.846285
7.580000	3.488813	-2.631519	0.852057
7.600000	3.507882	-2.643812	0.856470
7.620000	3.525821	-2.653953	0.859619
7.640000	3.542940	-2.662879	0.862397
7.660000	3.559791	-2.671769	0.865443
7.680000	3.576305	-2.681161	0.868640
7.700000	3.591872	-2.690954	0.871687
7.720000	3.606146	-2.700828	0.874421
7.740000	3.619206	-2.710678	0.876879
7.760000	3.631226	-2.720574	0.879190
7.780000	3.642266	-2.730391	0.881300
7.800000	3.652630	-2.739986	0.883114
7.820000	3.662821	-2.749272	0.884557
7.840000	3.673318	-2.758314	0.885599
7.860000	3.684538	-2.767354	0.886297
7.880000	3.696611	-2.776569	0.886719
7.900000	3.709275	-2.785989	0.886835
7.920000	3.722351	-2.795540	0.886540
7.940000	3.736174	-2.805195	0.885718
7.960000	3.751640	-2.815005	0.884049
7.980000	3.769722	-2.824988	0.881063
8.000000	3.790650	-2.835187	0.876469
8.020000	3.813938	-2.844891	0.870089
8.040000	3.838500	-2.853433	0.861731
8.060000	3.862706	-2.860406	0.852243
8.080000	3.883880	-2.866266	0.845753
8.100000	3.903784	-2.870189	0.841587
8.120000	3.920944	-2.872908	0.841742
