# time tau_applied_0 tau_applied_1 tau_applied_2 tau_applied_3 tau_applied_4 tau_applied_5 tau_applied_6 tau_applied_7 tau_applied_8 tau_applied_9 tau_applied_10 tau_applied_11 tau_applied_12 tau_applied_13 tau_applied_14 tau_applied_15 tau_applied_16 tau_applied_17 tau_applied_18 tau_applied_19 tau_applied_20 tau_applied_21 tau_applied_22 tau_applied_23
0.780000 16.450556 11.545914 -5.075661 8.476461 -0.865717 0.619186 20.604471 -13.361315 9.499922 0.186976 -1.297765 -1.424117 1.910344 0.662295 -2.101552 4.840649 0.006733 -2.694369 0.113584 -1.636232 6.880612 -0.380270 -2.659035 0.278718
0.800000 17.607206 15.578205 -6.832612 8.525275 -0.779938 0.623018 11.340591 -11.387159 8.500345 2.795788 -3.014964 -0.879852 1.017057 0.466666 -0.803377 2.487941 -0.853076 -2.596918 0.109205 0.546942 4.739779 -0.242472 -1.217452 0.114316
0.820000 16.549925 10.157166 -7.718756 7.062677 0.098115 0.250067 4.202336 -3.558331 6.056617 -1.560462 -2.047530 0.274451 -7.891417 1.368792 0.508712 -0.262443 -1.851219 -1.850851 0.185410 2.332529 1.462840 0.450850 -0.042249 -0.346248
0.840000 14.420464 10.178759 -7.481592 9.054376 -0.523171 1.217198 -3.304642 -7.166364 2.707761 0.870852 -2.331549 -0.064041 -6.211609 0.918085 0.470414 -3.000254 -1.571090 -3.001025 -0.311474 0.675268 -0.266944 -0.272994 -1.175399 0.299326
0.860000 20.305950 9.503296 -8.338993 6.236895 -0.576133 1.361263 -6.457263 -13.983873 1.471669 1.283047 -2.227520 -0.473573 -3.128563 2.031159 -0.469410 -3.659832 -1.039692 -2.831922 0.127947 0.355820 1.230866 -0.747155 -0.887172 0.259807
0.880000 27.532745 14.272357 -9.330798 7.693312 -0.820488 1.235387 -8.060909 -10.903377 1.378757 -7.240261 -1.465660 -0.095809 -3.021575 3.494205 -1.221151 -2.865733 -0.630447 -1.877229 -0.100667 -0.053337 2.648049 -0.599001 -1.032925 -0.041581
0.900000 30.528717 25.089205 -10.136011 14.618502 -1.850323 1.724139 -11.162404 -5.512175 0.347396 -3.657875 -1.795410 -0.115496 -3.142479 3.904316 -3.666773 -1.580762 -0.988186 -0.247972 -0.159416 -0.097559 2.852759 -0.566876 -1.627003 0.076469
0.920000 32.203102 23.659313 -8.998718 11.906423 -1.429489 1.568423 -10.383453 -7.553311 0.628610 -10.560062 0.439949 0.119866 -2.570694 3.578609 -4.610130 -1.163785 -0.083043 1.171300 -0.003347 -0.187138 3.444757 -0.496385 -1.075358 -0.551419
0.940000 33.347309 20.029657 -12.561991 8.795228 -2.128003 0.637949 -10.052322 -5.348154 1.869166 -17.163952 0.446149 0.770966 -8.139692 3.688097 -3.816409 -2.663132 0.407070 1.588066 0.131537 0.311870 5.550774 -0.343147 -0.389585 -0.328409
0.960000 16.484383 20.718533 -13.634102 -8.272535 -1.419683 -0.354230 -27.449915 -2.495191 -6.792629 22.651451 -2.225649 -0.297497 -5.270830 5.469206 -9.130768 -5.541684 2.090295 6.400939 -0.358665 -2.701793 5.347191 -1.861419 -4.967040 -0.521223
0.980000 13.666637 9.823720 0.518427 8.849398 -4.680698 -0.440160 -12.133411 9.713437 -0.220096 -28.028843 -1.021452 -1.844319 -33.889782 -9.583232 1.417526 -5.882504 1.018418 -0.109149 -0.342780 -1.196603 10.033660 -2.772269 -2.938049 -0.711769
1.000000 -28.070013 23.138535 -0.660517 -3.365860 -5.078732 1.637008 -44.534309 -15.768565 3.642884 18.493496 5.301824 1.911852 -14.364994 -52.110432 3.362318 -10.880937 -4.807405 4.299974 0.082744 2.402963 6.891114 -1.536165 0.838678 0.475408
1.020000 -37.224663 7.497081 -10.645988 -0.301239 1.440639 0.995293 -10.701862 4.025180 -8.641453 -19.515142 -1.491181 0.090071 -16.586998 -63.413002 5.068381 -17.050591 -2.729625 -0.718430 -0.384122 5.262369 -1.675865 6.755325 3.033998 -0.593149
1.040000 -19.340549 13.378701 2.567379 -30.633282 2.880002 2.776733 -20.284088 16.563648 6.062130 -23.355350 3.279601 -0.601628 2.542778 -41.494198 2.161422 -18.213469 1.161858 -2.508862 0.439032 1.573076 -13.374637 -1.305100 4.579024 -0.521502
1.060000 -3.886871 19.534170 4.399607 -3.067524 -3.258177 0.039054 -8.368621 -2.922848 1.425392 16.349499 -4.734600 -0.061906 16.969252 -13.005098 -2.152985 -10.352154 1.941612 -4.058523 -0.652078 0.064213 -9.308703 -1.913485 0.912355 0.776373
1.080000 -36.269783 -18.097769 -3.081749 -11.142282 -0.228511 -0.680469 -30.410149 -7.601811 -1.801734 -7.066940 -0.181136 -0.472610 7.242279 -19.921728 -2.440242 -5.685346 3.748962 -7.445880 1.499704 0.728887 -3.162683 -1.529966 2.326050 -2.366398
1.100000 -22.660458 4.380579 1.575402 -6.283647 -0.225446 -1.064639 -29.371363 -13.164934 0.034520 2.451931 1.866126 0.884380 8.374544 -30.877485 -4.032454 -7.295748 1.133383 -1.012798 -2.055954 -1.241748 -2.589213 -2.423306 3.038812 1.421309
1.120000 -14.708759 12.086531 1.093816 -13.233089 2.986536 0.426938 -25.840128 -2.559838 -3.183480 -2.684428 0.035139 0.721566 6.522541 -33.079178 -2.249100 -0.858876 0.611797 -1.351268 1.213374 6.512275 -4.164146 -0.623082 -9.495754 -0.090751
1.140000 -20.658758 0.051194 -1.945428 2.665744 -2.841008 -0.741339 -20.435747 -2.329950 -6.967051 -14.335814 0.072737 -0.327843 1.057068 -35.265312 0.451772 4.357801 -0.076661 -0.266229 -0.680759 7.727977 -2.117802 1.156029 -7.568035 1.209094
1.160000 6.216698 23.336065 -1.326693 -23.812332 2.012321 -1.271958 -16.676973 24.068739 -3.346134 -1.815868 -1.253938 -0.686708 15.482773 -33.002403 -2.496515 4.895605 -1.650660 3.671132 0.020625 3.546270 -5.495319 0.062246 1.210635 0.411290
1.180000 -32.822140 -3.165989 1.701266 5.950491 -4.694807 -1.026754 -26.831837 -10.847974 -5.372436 -16.848869 -0.553959 0.686714 -2.349197 -33.532822 -2.502207 3.549606 0.831860 1.139139 -0.167698 8.962914 -7.522700 1.978362 2.844282 -0.560910
1.200000 -14.445415 -3.372054 -1.873656 -12.834021 -2.184493 -0.702718 -16.486086 1.154282 3.036674 -1.071961 -1.299462 -0.009376 -8.434610 -21.537935 1.995224 -4.561075 2.296702 -0.084901 0.244303 3.223817 -8.724513 3.858020 1.369317 0.372842
