# time m_tauc_0 m_tauc_1 m_tauc_2 m_tauc_3 m_tauc_4 m_tauc_5 m_tauc_6 m_tauc_7 m_tauc_8 m_tauc_9 m_tauc_10 m_tauc_11 m_tauc_12 m_tauc_13 m_tauc_14 m_tauc_15 m_tauc_16 m_tauc_17 m_tauc_18 m_tauc_19 m_tauc_20 m_tauc_21 m_tauc_22 m_tauc_23
1.000000 -28.070013 11.899526 -11.239009 5.349884 1.984024 1.637008 -44.534309 6.062840 -9.705725 -13.074780 5.418717 1.911852 18.872719 33.237713 3.362318 -3.036766 7.844171 2.108615 -2.191359 2.402963 4.213640 -2.677474 0.181635 -0.657043
1.020000 -37.224663 9.071534 1.574454 -0.889553 -1.190792 0.995293 -10.701862 2.308136 6.333316 10.834236 -8.680906 0.090071 23.413002 43.054268 5.068381 -7.160483 9.890108 -0.167154 0.551276 5.262369 -4.215595 -2.539730 1.813574 -1.220425
1.040000 -19.340549 5.405661 -7.973040 13.237217 -17.396065 2.776733 -20.284088 -11.312889 5.250759 9.309732 -14.045618 -0.601628 22.018488 19.475710 2.161422 -9.687663 8.525805 -1.473947 1.034915 1.573076 -6.034768 7.339869 2.550263 -2.028761
1.060000 -3.886871 7.567281 -11.966888 3.886237 0.818713 0.039054 -8.368621 0.748728 -2.174120 -4.756266 11.593233 -0.061906 14.987175 -1.982076 -2.152985 -6.146883 4.205271 -1.703223 2.355300 0.064213 -3.697609 5.611094 0.067991 -0.844364
1.080000 -36.269783 -7.508010 10.589759 5.736130 -5.406151 -0.680469 -30.410149 4.701773 -2.900039 3.664254 -3.402686 -0.472610 13.582004 6.339725 -2.440242 -4.717154 0.968192 -4.472792 2.973088 0.728887 -0.816359 2.346325 2.346224 0.020174
1.100000 -22.660458 1.402589 -2.977990 3.304601 -2.979046 -1.064639 -29.371363 6.565207 -6.599727 -2.573349 -0.121418 0.884380 19.626015 11.251471 -4.032454 -4.214565 3.081183 0.521578 1.534376 -1.241748 -0.082954 2.506259 0.808752 -2.230061
1.120000 -14.708759 5.496357 -6.590173 4.460201 -8.772888 0.426938 -25.840128 2.871659 0.311821 1.316843 -1.367585 0.721566 19.800859 13.278318 -2.249100 -0.735336 0.123540 -1.282321 0.068947 6.512275 -1.770532 2.393614 -4.702502 4.793252
1.140000 -20.658758 0.998311 0.947117 0.718397 3.384141 -0.741339 -20.435747 4.648500 2.318550 7.115390 -7.220425 -0.327843 18.161190 17.104122 0.451772 2.217231 -2.140570 0.207265 0.473494 7.727977 -1.636915 0.480887 -4.388564 3.179471
1.160000 6.216698 12.331379 -11.004686 10.453226 -13.359106 -1.271958 -16.676973 -10.361302 13.707437 1.813304 -0.002564 -0.686708 24.242588 8.759815 -2.496515 3.273133 -1.622473 1.825253 -1.845878 3.546270 -2.778782 2.716537 0.399673 -0.810962
1.180000 -32.822140 -2.433628 0.732362 0.414507 6.364998 -1.026754 -26.831837 8.110205 -2.737769 8.824405 -8.024465 0.686714 15.591812 17.941010 -2.502207 1.358873 -2.190733 0.653419 -0.485720 8.962914 -4.750531 2.772169 1.702596 -1.141686
1.200000 -14.445415 -0.749199 2.622855 7.994262 -4.839759 -0.702718 -16.486086 -2.095478 -0.941196 1.474220 0.402259 -0.009376 6.551662 14.986273 1.995224 -3.428888 1.132186 -0.164602 -0.079701 3.223817 -6.291266 2.433247 0.498238 -0.871079
1.220000 -16.421850 -0.474676 -5.087975 1.042681 -1.272130 1.237108 -22.790085 3.994051 -3.998405 -3.518528 0.981599 0.209645 8.682250 7.466933 -1.404160 -3.459099 4.183598 -0.084154 0.078725 5.227677 -6.621320 5.360481 -0.253675 -0.119340
1.240000 -14.891379 -5.735999 4.314979 3.521988 -5.147050 0.120668 -16.242208 8.111794 1.526567 7.612545 -7.501954 -0.676841 6.185235 7.338203 -3.364659 -3.897852 4.206171 -2.334867 1.969302 -3.386693 -5.831515 4.602751 -1.309672 1.029688
1.260000 -28.358038 -3.724798 7.589762 4.402878 -4.084653 0.681728 -32.451500 4.773349 -1.630562 5.296358 -5.524724 -0.120198 10.897303 2.047517 -3.930534 -3.124388 2.052489 -0.378534 0.797542 -4.996701 0.974756 3.996110 -0.085045 0.395160
1.280000 -40.430290 -7.369643 4.203644 -0.789022 0.823869 1.288297 -33.949001 3.461799 -4.957942 1.943461 0.260935 -0.967127 7.942151 4.894644 -4.240102 -0.772713 -0.665228 -0.933183 0.008756 -8.838208 3.646247 0.800494 -0.742656 1.037279
1.300000 21.897318 11.593972 -8.902091 5.633794 -2.244071 0.464661 -21.123730 -12.101300 11.819592 -5.655001 4.338926 -0.257049 -17.933041 -5.731863 3.305782 0.045528 -0.751204 2.425592 -1.869125 -2.948776 0.724683 -1.378188 2.101496 -2.184303
1.320000 5.255308 7.890492 -1.280686 -1.387849 6.196683 -0.053292 -23.380030 0.342164 8.988516 -9.180010 6.178432 -1.059277 -14.121217 -6.745553 -1.175567 3.422817 -2.487671 -0.607043 0.255422 0.281315 -0.242806 -1.846345 -2.167816 1.419522
1.340000 12.179339 4.105999 1.524001 -0.436932 -0.169596 -0.526379 -10.079973 6.360124 2.194526 -3.162426 1.075357 -0.225026 -7.951538 -0.717627 -2.757881 3.214685 -3.529367 -0.024235 -0.466393 1.123060 0.367608 -2.058624 -0.158837 0.647002
1.360000 18.937860 4.329594 11.330211 -0.676015 6.626141 2.546178 -7.822105 0.691995 -1.545867 0.018022 -1.503005 -0.593329 -1.193201 -1.401513 -3.525296 2.706485 -3.327250 0.243410 -0.448386 1.150263 -0.878741 -0.972928 -1.178445 0.838418
1.380000 22.668238 10.640010 8.782199 -4.414654 11.284319 2.837943 -12.205149 -1.428814 -2.579194 3.285330 -3.670199 -0.915924 -1.909953 -1.986766 -2.573815 1.728252 -2.006441 0.444623 -0.542842 0.533157 0.062777 -0.718513 -0.698717 0.851347
1.400000 27.683079 14.903296 -4.336212 -7.404334 11.529471 2.729859 -8.211151 -2.240347 -7.573209 -0.924550 -1.608291 -2.239983 1.073390 0.978581 -0.269099 2.837985 -3.739906 0.495495 -0.489753 0.562022 0.633928 -1.199613 -2.949851 2.616061
1.420000 17.153244 10.913580 -13.117271 -3.397953 4.771615 1.559703 -0.798822 -2.025762 -6.604829 -0.631576 -2.719232 -0.500166 0.794486 13.885664 -1.019223 2.250528 -3.066710 0.797831 -1.196221 -0.051656 0.395192 -1.110773 -1.093656 1.386574
1.440000 -10.967909 14.815516 -13.666388 -0.819287 4.841206 0.590825 0.377176 -1.774287 -8.378475 -11.503436 5.372325 -1.166330 1.933321 23.641058 -5.541774 2.006188 -2.714634 2.201877 -1.054362 -0.206638 0.641184 -0.079834 -1.107884 0.678586
1.460000 -18.818254 17.586369 -12.055158 2.507672 -5.330217 -0.041695 3.581141 -10.142915 -0.968403 -12.520730 6.436389 -2.417556 -0.496520 23.041210 -1.842736 2.060054 -3.237436 0.182542 -0.812866 0.272803 -0.551907 0.410698 -1.192437 1.042069
1.480000 -17.312956 16.356823 -7.984021 3.954315 -5.674694 -0.165483 1.683591 -10.308521 -7.790027 -11.414255 4.285663 -2.145459 1.397397 21.613121 -1.293000 2.728823 -2.925558 1.480212 -0.970612 1.914584 -1.803626 0.388523 0.070709 0.395308
1.500000 -12.810645 12.743624 -4.419262 8.911581 -9.589993 -0.327622 2.101700 -10.173553 -10.273368 -10.917123 4.182163 -3.468210 2.616576 17.672426 0.873521 2.424448 -3.673788 0.587719 -0.467964 3.621444 -2.983909 0.406779 -0.552988 0.709700
1.520000 -16.402103 10.399874 -7.419140 10.245334 -9.339252 0.515206 -3.663066 -12.025298 -8.174798 -13.132936 6.426068 -3.610810 -2.704607 12.879385 1.706476 1.546673 -1.446894 1.032465 -1.098403 4.520098 -2.702132 1.395532 -0.202632 0.436589
